"","Year","Quarter","Less_than_5k_Dollars_Outstanding_(in billions)","Less_than_5k_Borrowers_(in thousands)","5k_to_10K_Dollars_Outstanding_(in billions)","5k_to_10k_Borrowers_(in thousands)","10k_to_20K_Dollars_Outstanding_(in billions)","10k_to_20k_Borrowers_(in thousands)","20k_to_40K_Dollars_Outstanding_(in billions)","20k_to_40k_Borrowers_(in thousands)","40k_to_60K_Dollars_Outstanding_(in billions)","40k_to_60k_Borrowers_(in thousands)","60k_to_80K_Dollars_Outstanding_(in billions)","60k_to_80k_Borrowers_(in thousands)","80k_to_100K_Dollars_Outstanding_(in billions)","80k_to_100k_Borrowers_(in thousands)","100k_to_200K_Dollars_Outstanding_(in billions)","100k_to_200k_Borrowers_(in thousands)","200K_plus_Dollars_Outstanding_(in billions)","200k_plus_Borrowers_(in thousands)","Stafford_Subsidized_Dollars_Outstanding_(in billions)","Stafford_Subsidized_Recipients_(in millions)","Stafford_Unsubsidized_Dollars_Outstanding_(in billions)","Stafford_Unsubsidized_Recipients_(in millions)","Stafford_(Combined)_Dollars_Outstanding_(in billions)","Stafford_(Combined)_Unique_Recipients_(in millions)","Grad_PLUS_Dollars_Outstanding_(in billions)","Grad_PLUS_Recipients_(in millions)","Parent_PLUS_Dollars_Outstanding_(in billions)","Parent_PLUS_Recipients_(in millions)","Perkins_Dollars_Outstanding_(in billions)","Perkins_Recipients_(in millions)","Consolidation_Dollars_Outstanding_(in billions)","Consolidation_Recipients_(in millions)"
"1","2017","Q2",21.2,8.2,57.3,7.9,138,9.6,268,9.4,192.6,3.9,157.1,2.3,93.9,1.1,249.1,1.8,163.2,0.6,272.5,29.4,449.6,27.9,722.2,32.6,55.7,1.1,81.5,3.4,7.9,2.6,464.5,12
"2","2017","Q3",20.8,8,56.7,7.8,136.5,9.5,265,9.3,191.9,3.9,157.6,2.3,95.3,1.1,251.1,1.8,167.2,0.6,269.9,29,450.3,27.6,720.2,32.2,56.6,1.1,80.5,3.4,7.8,2.6,472.3,12
"3","2017","Q4",22.4,8.6,56.9,7.7,135.8,9.4,268.3,9.4,195.1,4,160.3,2.3,98.2,1.1,258.9,1.9,176,0.6,273.1,29.5,462.4,28.3,735.5,32.9,59.7,1.2,83.9,3.5,7.6,2.5,480.3,12
"4","2018","Q1",23.1,8.8,56.5,7.7,135.3,9.4,266.5,9.4,195.2,4,161.2,2.3,100.1,1.1,261.7,1.9,182,0.6,272.2,29.6,463.3,28.4,735.5,33,59.6,1.2,83.7,3.5,7.6,2.5,489,12
"5","2018","Q2",20.7,8,56.5,7.8,137.4,9.5,269.4,9.5,197.6,4,164.9,2.4,103.4,1.2,269.5,2,191.6,0.7,276.4,29.5,476.6,28.3,753,32.9,62.8,1.2,87.7,3.5,7.6,2.5,495.9,11.9
"6","2018","Q3",20.4,7.9,56,7.7,136,9.4,266.4,9.4,196.9,4,165.3,2.4,105.2,1.2,272.7,2,197.6,0.7,274.2,29.1,477.8,28,752.1,32.5,63.9,1.2,86.7,3.4,7.4,2.4,501.9,11.9
"7","2018","Q4",22.1,8.5,56.3,7.6,135.1,9.3,269.8,9.5,199.8,4.1,167.5,2.4,108.2,1.2,280.4,2,206.4,0.7,277.5,29.6,489.6,28.7,767.1,33.1,67,1.3,89.9,3.6,7.1,2.3,508,11.9
"8","2019","Q1",22.6,8.7,55.9,7.6,134.6,9.3,268.1,9.4,199.7,4.1,168.1,2.4,110.2,1.2,283.1,2.1,212.7,0.7,276.8,29.7,490.9,28.8,767.7,33.3,71.3,1.5,89.8,3.6,6.9,2.2,515.6,11.8
"9","2019","Q2",20.2,7.9,55.7,7.7,136.2,9.4,270,9.5,201.4,4.1,171.2,2.5,113.5,1.3,290.4,2.1,222.3,0.8,280,29.5,503.5,28.7,783.5,33.1,70.7,1.3,93.9,3.5,6.6,2.2,521.8,11.8
"10","2019","Q3",19.9,7.7,55,7.6,134.6,9.3,266.7,9.4,200.3,4.1,171.2,2.5,115.1,1.3,293.5,2.1,229.3,0.8,277.4,29.1,504.2,28.3,781.6,32.6,71.9,1.3,92.9,3.5,6.3,2.1,528.4,11.8
