Completion Year,State,Total,Degree-granting,"Non-degree-granting, primarily postsecondary",American Indian or Alaska Native,Asian or Pacific Islander,Asian,Native Hawaiian or Other Pacific Islander,Black or African American,Hispanic or Latino,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident,Male,Female
2023-24,Total,"5,367,633","5,101,601","266,032","32,838",,"370,018","11,432","601,627","1,025,238","2,579,092","201,251","205,100","341,037","2,193,492","3,174,141"
2023-24,Alabama,"81,485","80,538",947,434,,"1,831",96,"15,916","3,880","51,276","2,525","2,690","2,837","34,680","46,805"
2023-24,Alaska,"5,100","4,961",139,502,,331,58,201,630,"2,564",504,219,91,"1,891","3,209"
2023-24,Arizona,"188,809","181,936","6,873","3,413",,"7,592",754,"20,337","47,568","78,838","7,518","15,908","6,881","73,843","114,966"
2023-24,Arkansas,"54,665","53,257","1,408",419,,997,76,"7,402","4,947","35,588","2,282",724,"2,230","21,100","33,565"
2023-24,California,"742,584","706,579","36,005","2,418",,"111,116","2,863","36,680","305,468","179,913","34,380","29,969","39,777","302,022","440,562"
2023-24,Colorado,"95,374","91,872","3,502",870,,"3,676",234,"6,519","18,382","52,536","4,261","5,536","3,360","39,890","55,484"
2023-24,Connecticut,"54,119","48,917","5,202",101,,"3,221",58,"5,792","8,325","26,561","1,927","1,597","6,537","22,556","31,563"
2023-24,Delaware,"14,178","12,563","1,615",33,,564,21,"2,520","1,276","7,325",509,235,"1,695","5,805","8,373"
2023-24,District of Columbia,"29,352","29,176",176,69,,"2,557",54,"5,827","3,019","11,101","1,140","1,605","3,980","11,007","18,345"
2023-24,Florida,"341,816","304,996","36,820",763,,"12,251",573,"54,109","107,882","127,663","11,124","9,495","17,956","135,807","206,009"
2023-24,Georgia,"161,542","157,920","3,622",369,,"9,884",186,"46,361","16,148","71,132","5,371","3,030","9,061","64,701","96,841"
2023-24,Hawaii,"12,171","11,953",218,21,,"3,593",607,202,"1,533","2,037","3,146",200,832,"4,607","7,564"
2023-24,Idaho,"36,378","34,964","1,414",189,,774,169,980,"5,795","24,565","1,117","1,995",794,"13,876","22,502"
2023-24,Illinois,"218,066","210,412","7,654",495,,"16,165",281,"25,907","39,043","103,717","6,421","7,587","18,450","89,584","128,482"
2023-24,Indiana,"145,485","142,740","2,745",402,,"6,820",219,"13,292","11,164","92,480","5,451","5,098","10,559","62,858","82,627"
2023-24,Iowa,"53,400","52,205","1,195",181,,"1,657",59,"2,678","4,061","38,317","1,729","2,308","2,410","22,639","30,761"
2023-24,Kansas,"55,234","52,435","2,799",585,,"1,671",112,"3,065","6,975","34,861","2,283","2,570","3,112","23,085","32,149"
2023-24,Kentucky,"96,197","94,569","1,628",194,,"2,349",101,"7,410","4,713","69,553","2,979","3,535","5,363","44,568","51,629"
2023-24,Louisiana,"70,994","64,239","6,755",456,,"2,025",112,"20,548","4,184","38,099","1,952","1,883","1,735","27,398","43,596"
2023-24,Maine,"15,626","14,990",636,80,,432,17,648,687,"12,095",520,666,481,"6,022","9,604"
2023-24,Maryland,"88,243","85,715","2,528",217,,"8,129",179,"19,785","8,921","34,812","3,568","3,706","8,926","38,950","49,293"
2023-24,Massachusetts,"138,189","134,535","3,654",166,,"12,834",84,"8,981","13,578","63,872","4,369","6,761","27,544","57,905","80,284"
2023-24,Michigan,"123,670","117,665","6,005",600,,"6,420",104,"12,085","7,307","77,251","4,472","5,927","9,504","51,952","71,718"
2023-24,Minnesota,"105,818","104,288","1,530",643,,"6,381",179,"16,716","8,631","61,896","3,377","3,986","4,009","34,386","71,432"
2023-24,Mississippi,"44,905","42,631","2,274",205,,670,32,"15,373","1,531","24,512",949,829,804,"17,462","27,443"
2023-24,Missouri,"92,388","89,470","2,918",358,,"3,537",131,"7,697","5,578","59,772","3,408","2,524","9,383","38,770","53,618"
2023-24,Montana,"10,922","10,690",232,664,,316,15,87,505,"8,278",511,328,218,"4,557","6,365"
2023-24,Nebraska,"32,905","32,320",585,176,,"1,077",47,"1,496","3,682","23,086","1,384",953,"1,004","14,276","18,629"
2023-24,Nevada,"30,244","26,726","3,518",211,,"3,444",266,"2,484","9,468","10,597","2,376",909,489,"11,376","18,868"
2023-24,New Hampshire,"54,585","54,046",539,203,,"1,995",140,"6,058","5,665","31,631","1,565","5,345","1,983","20,901","33,684"
2023-24,New Jersey,"103,669","92,614","11,055",157,,"9,900",143,"13,257","22,604","42,608","2,744","4,187","8,069","44,687","58,982"
2023-24,New Mexico,"29,008","28,108",900,"2,411",,703,70,809,"13,944","8,594",860,897,720,"10,798","18,210"
