state,state_fips_code,year,trade_school_check,Level and degree/certificate-seeking status of student,Undergraduate or graduate level of student,Grand total,Grand total men,Grand total women,American Indian or Alaska Native total,American Indian or Alaska Native men,American Indian or Alaska Native women,Asian total,Asian men,Asian women,Black or African American total,Black or African American men,Black or African American women,Hispanic or Latino total,Hispanic or Latino men,Hispanic or Latino women,Native Hawaiian or Other Pacific Islander total,Native Hawaiian or Other Pacific Islander men,Native Hawaiian or Other Pacific Islander women,White total,White men,White women,Two or more races total,Two or more races men,Two or more races women,Race/ethnicity unknown total,Race/ethnicity unknown men,Race/ethnicity unknown women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women,Gender unknown,Another gender,Total of gender unknown and  another gender,Total gender reported as one of the mutually exclusive binary categories (Men/Women)
Alabama,AL,2024,False,Undergraduate total,Undergraduate,198029,88515,109514,876,413,463,4452,2046,2406,47883,17740,30143,9290,3984,5306,296,150,146,115773,54196,61577,6935,2908,4027,8486,4743,3743,4038,2335,1703,234,0,3990.10000200..000054913010290000020660,188390
Alabama,AL,2024,True,All students total,All students total,126535,49877,76658,636,282,354,1545,638,907,34508,11356,23152,9016,3622,5394,112,56,56,73772,31150,42622,5831,2315,3516,388,142,246,727,316,411,205,0,0160613000511036450000150181605017.000000000020000,125972
Alaska,AK,2024,False,Undergraduate total,Undergraduate,35029,12866,22163,3739,1093,2646,1865,647,1218,1207,453,754,3448,1159,2289,339,105,234,16164,6112,10052,3102,1010,2092,4673,2097,2576,492,190,302,568,0,214029928270.,33951
Alaska,AK,2024,True,All students total,All students total,1513,926,587,378,200,178,74,20,54,44,17,27,80,46,34,21,9,12,592,422,170,102,56,46,222,156,66,0,0,0,0,0,000,1513
American Samoa,AS,2024,False,Undergraduate total,Undergraduate,1401,436,965,0,0,0,24,13,11,0,0,0,1,0,1,1231,379,852,1,1,0,0,0,0,5,2,3,139,41,98,0,0,0,1401
Arizona,AZ,2024,False,Undergraduate total,Undergraduate,660186,252370,407816,12603,3895,8708,25577,11436,14141,80824,24920,55904,160079,59013,101066,2539,931,1608,269838,106930,162908,29268,10880,18388,68131,27073,41058,11327,7292,4035,17134,837,4464318609269122565311001172321680409110119026027838137008.1100070508469000.11,629727
Arizona,AZ,2024,True,All students total,All students total,138431,64396,74035,5674,1985,3689,3816,1855,1961,8308,4096,4212,56139,23596,32543,491,271,220,48646,25229,23417,5909,2790,3119,8617,4158,4459,831,416,415,1514,188,0...00103000.34.14430.1447016715110.0000000000150..0.000047400000030.00.,124639
Arkansas,AR,2024,False,Undergraduate total,Undergraduate,103673,42908,60765,786,308,478,2221,961,1260,15227,5716,9511,9086,3885,5201,153,70,83,66016,27447,38569,5325,2132,3193,1612,719,893,3247,1670,1577,215,0,1301000010160000301000.0190003500,102483
Arkansas,AR,2024,True,All students total,All students total,63503,23347,40156,680,271,409,913,385,528,12210,3467,8743,6880,2621,4259,189,83,106,39094,15107,23987,2083,776,1307,1049,459,590,405,178,227,164,10,00000000.0.000000001920053000662500000021130000000000,58742
California,CA,2024,False,Undergraduate total,Undergraduate,1538526,683149,855377,4419,1827,2592,239833,114116,125717,86375,36130,50245,614940,248713,366227,5569,2516,3053,347815,159172,188643,76513,33882,42631,107653,57643,50010,55409,29150,26259,58574,13202,00372.4112180090.001475.1476106719752615129915282783360514373163239236513721826100655534873191548997700120.074001079556009482.00.6338471083098900.013122000.3.480054700450145306540035520..101.0023000011421548125832894..3281129.531950113300.0529..55017.7195300434782028.07440002017143300000776000304359006550.1001624477000000.0000031209.005800028..000.000.2191400..240..001009.1,1407254
California,CA,2024,True,All students total,All students total,1793352,814248,979104,6981,3095,3886,229544,107429,122115,114417,49455,64962,840106,360397,479709,7893,3845,4048,414379,201776,212603,83156,37654,45502,81205,42628,38577,15671,7969,7702,36980,10214,524318...14450177002974810.4613720100000643.91210334370145700850.108291187654.18660301815498953992150001861265.56110923670184.248049702822550100029106029851116648669401720000111186190274615282.047610664592173000003341663275.39566787248.0295504971153920444383564.2575185128763129450.0804017612..442.15571607943483.0.0545001160.0..0076000.020704102364034.0000.004000400...1.00.00005700000012.400.0.3001.101000000.0.00.000006600000100000000195214.340000.100333.000012260000200100.0000500.0490000000.0050..0000360003.0000000.20.080006300.000000.2010.0140000000,1686103
Colorado,CO,2024,False,Undergraduate total,Undergraduate,374915,165532,209383,3687,1451,2236,14111,6443,7668,25493,9918,15575,73713,29202,44511,1023,458,565,199705,92814,106891,18427,8328,10099,32291,13487,18804,6465,3431,3034,23290,799,1145073424821064.4049332129901811033636.108060030172..00508100850,342054
Colorado,CO,2024,True,All students total,All students total,51055,21941,29114,740,389,351,1388,643,745,9456,3186,6270,13941,6296,7645,238,106,132,18905,8881,10024,2415,789,1626,2622,1037,1585,1350,614,736,125,0,001700000000000000.0.2820000004800090000..0,50391
