state,state_fips_code,year,trade_school_check,Level and degree/certificate-seeking status of student,Undergraduate or graduate level of student,Grand total,Grand total men,Grand total women,American Indian or Alaska Native total,American Indian or Alaska Native men,American Indian or Alaska Native women,Asian total,Asian men,Asian women,Black or African American total,Black or African American men,Black or African American women,Hispanic or Latino total,Hispanic or Latino men,Hispanic or Latino women,Native Hawaiian or Other Pacific Islander total,Native Hawaiian or Other Pacific Islander men,Native Hawaiian or Other Pacific Islander women,White total,White men,White women,Two or more races total,Two or more races men,Two or more races women,Race/ethnicity unknown total,Race/ethnicity unknown men,Race/ethnicity unknown women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women,Gender unknown,Another gender,Total of gender unknown and  another gender,Total gender reported as one of the mutually exclusive binary categories (Men/Women)
Alabama,AL,2020,False,Undergraduate total,Undergraduate,204276,92811,111465,985,456,529,3960,1911,2049,49261,17901,31360,7664,3528,4136,276,126,150,119587,56458,63129,5789,2386,3403,10700,6121,4579,6054,3924,2130,0,0,0,0
Alabama,AL,2020,True,All students total,All students total,116123,46230,69893,855,379,476,1466,634,832,31761,10672,21089,5560,2229,3331,100,45,55,70502,29656,40846,3171,1256,1915,1927,961,966,781,398,383,0,0,0,0
Alabama,AL,2021,False,Undergraduate total,Undergraduate,199413,89889,109524,968,433,535,4003,1905,2098,48553,17618,30935,7757,3527,4230,300,156,144,118030,55598,62432,5955,2465,3490,9248,5151,4097,4599,3036,1563,0,0,0,0
Alabama,AL,2021,True,All students total,All students total,106828,41048,65780,700,312,388,1295,532,763,28295,8778,19517,5355,2058,3297,71,28,43,64236,26454,37782,3604,1352,2252,2525,1184,1341,747,350,397,0,0,0,0
Alabama,AL,2022,False,Undergraduate total,Undergraduate,194197,86800,107397,925,410,515,4053,1902,2151,47389,17422,29967,7763,3440,4323,298,149,149,115581,53975,61606,5941,2419,3522,8056,4450,3606,4191,2633,1558,493,1,494.0,0
Alabama,AL,2022,True,All students total,All students total,112746,43659,69087,668,300,368,1313,558,755,31202,9755,21447,6139,2465,3674,95,43,52,66928,27881,39047,4071,1586,2485,1597,732,865,733,339,394,228,126,354.0,0
Alabama,AL,2023,False,Undergraduate total,Undergraduate,193466,86326,107140,901,398,503,4163,1941,2222,46381,17219,29162,8630,3732,4898,349,162,187,114694,53400,61294,6380,2660,3720,7943,4409,3534,4025,2405,1620,105,0,210.000000700000000030001100000130.11,183573
Alabama,AL,2023,True,All students total,All students total,119203,47051,72152,626,281,345,1456,615,841,32426,10535,21891,7521,3033,4488,117,60,57,70124,29720,40404,5101,2020,3081,1108,471,637,724,316,408,63,0,0604.000.1400200000008000300000000000000.00,110411
Alabama,AL,2024,False,Undergraduate total,Undergraduate,198029,88515,109514,876,413,463,4452,2046,2406,47883,17740,30143,9290,3984,5306,296,150,146,115773,54196,61577,6935,2908,4027,8486,4743,3743,4038,2335,1703,234,0,3990.10000200..000054913010290000020660,188390
Alabama,AL,2024,True,All students total,All students total,126535,49877,76658,636,282,354,1545,638,907,34508,11356,23152,9016,3622,5394,112,56,56,73772,31150,42622,5831,2315,3516,388,142,246,727,316,411,205,0,0160613000511036450000150181605017.000000000020000,125972
