state,state_fips_code,year,trade_school_check,Level and degree/certificate-seeking status of student,Undergraduate or graduate level of student,Grand total,Grand total men,Grand total women,American Indian or Alaska Native total,American Indian or Alaska Native men,American Indian or Alaska Native women,Asian total,Asian men,Asian women,Black or African American total,Black or African American men,Black or African American women,Hispanic or Latino total,Hispanic or Latino men,Hispanic or Latino women,Native Hawaiian or Other Pacific Islander total,Native Hawaiian or Other Pacific Islander men,Native Hawaiian or Other Pacific Islander women,White total,White men,White women,Two or more races total,Two or more races men,Two or more races women,Race/ethnicity unknown total,Race/ethnicity unknown men,Race/ethnicity unknown women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women,Gender unknown,Another gender,Total of gender unknown and  another gender,Total gender reported as one of the mutually exclusive binary categories (Men/Women)
Alabama,AL,2020,1,Undergraduate totalAll students total,UndergraduateAll students total,320399,139041,181358,1840,835,1005,5426,2545,2881,81022,28573,52449,13224,5757,7467,376,171,205,190089,86114,103975,8960,3642,5318,12627,7082,5545,6835,4322,2513,0,0,0,0
Alabama,AL,2021,1,Undergraduate totalAll students total,UndergraduateAll students total,306241,130937,175304,1668,745,923,5298,2437,2861,76848,26396,50452,13112,5585,7527,371,184,187,182266,82052,100214,9559,3817,5742,11773,6335,5438,5346,3386,1960,0,0,0,0
Alabama,AL,2022,1,Undergraduate totalAll students total,UndergraduateAll students total,306943,130459,176484,1593,710,883,5366,2460,2906,78591,27177,51414,13902,5905,7997,393,192,201,182509,81856,100653,10012,4005,6007,9653,5182,4471,4924,2972,1952,721,127,848.0,0
Alabama,AL,2023,1,Undergraduate totalAll students total,UndergraduateAll students total,312669,133377,179292,1527,679,848,5619,2556,3063,78807,27754,51053,16151,6765,9386,466,222,244,184818,83120,101698,11481,4680,6801,9051,4880,4171,4749,2721,2028,168,0,210.000000700000000030001100000130.110604.000.1400200000008000300000000000000.00,293984
Alabama,AL,2024,1,Undergraduate totalAll students total,UndergraduateAll students total,324564,138392,186172,1512,695,817,5997,2684,3313,82391,29096,53295,18306,7606,10700,408,206,202,189545,85346,104199,12766,5223,7543,8874,4885,3989,4765,2651,2114,439,0,3990.10000200..0000549130102900000206600160613000511036450000150181605017.000000000020000,314362
Alaska,AK,2020,1,Undergraduate totalAll students total,UndergraduateAll students total,39881,14758,25123,4343,1358,2985,1521,529,992,1211,421,790,3315,1139,2176,828,286,542,19673,7549,12124,3740,1298,2442,4791,1968,2823,459,210,249,0,0,0,0
Alaska,AK,2021,1,Undergraduate totalAll students total,UndergraduateAll students total,37226,13489,23737,3984,1198,2786,1529,511,1018,1158,393,765,3149,1053,2096,744,246,498,18115,6877,11238,3314,1126,2188,4851,1909,2942,382,176,206,0,0,0,0
Alaska,AK,2022,1,Undergraduate totalAll students total,UndergraduateAll students total,35302,12931,22371,4110,1264,2846,1537,511,1026,1158,388,770,2781,901,1880,626,230,396,17087,6502,10585,3078,1039,2039,4499,1914,2585,426,182,244,448,1,449.0,0
Alaska,AK,2023,1,Undergraduate totalAll students total,UndergraduateAll students total,35713,13443,22270,4438,1454,2984,1570,531,1039,1220,446,774,3149,1038,2111,524,194,330,16830,6516,10314,3058,1054,2004,4495,2028,2467,429,182,247,357,0,199011048000.00,34376
Alaska,AK,2024,1,Undergraduate totalAll students total,UndergraduateAll students total,36542,13792,22750,4117,1293,2824,1939,667,1272,1251,470,781,3528,1205,2323,360,114,246,16756,6534,10222,3204,1066,2138,4895,2253,2642,492,190,302,568,0,214029928270.000,35464
