date,education_level,employment_population_ratio
2019-01-01,ba_plus,72.1
2019-02-01,ba_plus,72.1
2019-03-01,ba_plus,72.2
2019-04-01,ba_plus,72.3
2019-05-01,ba_plus,72.2
2019-06-01,ba_plus,72.3
2019-07-01,ba_plus,71.7
2019-08-01,ba_plus,72.0
2019-09-01,ba_plus,72.4
2019-10-01,ba_plus,72.3
2019-11-01,ba_plus,72.6
2019-12-01,ba_plus,72.3
2020-01-01,ba_plus,72.5
2020-02-01,ba_plus,71.9
2020-03-01,ba_plus,71.2
2020-04-01,ba_plus,65.6
2020-05-01,ba_plus,66.5
2020-06-01,ba_plus,67.7
2020-07-01,ba_plus,67.1
2020-08-01,ba_plus,68.6
2020-09-01,ba_plus,68.7
2020-10-01,ba_plus,68.9
2020-11-01,ba_plus,69.1
2020-12-01,ba_plus,69.3
2021-01-01,ba_plus,69.5
2021-02-01,ba_plus,69.3
2021-03-01,ba_plus,69.5
2021-04-01,ba_plus,69.7
2021-05-01,ba_plus,70.0
2021-06-01,ba_plus,69.9
2021-07-01,ba_plus,69.9
2021-08-01,ba_plus,70.0
2021-09-01,ba_plus,70.2
2021-10-01,ba_plus,70.1
2021-11-01,ba_plus,70.5
2021-12-01,ba_plus,71.0
2022-01-01,ba_plus,71.2
2022-02-01,ba_plus,71.2
2022-03-01,ba_plus,71.5
2022-04-01,ba_plus,71.5
2022-05-01,ba_plus,71.9
2022-06-01,ba_plus,71.5
2022-07-01,ba_plus,71.3
2022-08-01,ba_plus,71.5
2022-09-01,ba_plus,71.6
2022-10-01,ba_plus,71.2
2022-11-01,ba_plus,71.1
2022-12-01,ba_plus,71.4
2023-01-01,ba_plus,71.4
2023-02-01,ba_plus,71.1
2023-03-01,ba_plus,71.7
2023-04-01,ba_plus,71.9
2023-05-01,ba_plus,71.5
2023-06-01,ba_plus,71.8
2023-07-01,ba_plus,71.8
2023-08-01,ba_plus,71.8
2023-09-01,ba_plus,71.8
2023-10-01,ba_plus,71.1
2023-11-01,ba_plus,71.2
2023-12-01,ba_plus,70.8
2024-01-01,ba_plus,71.2
2024-02-01,ba_plus,70.6
2024-03-01,ba_plus,70.9
2024-04-01,ba_plus,71.3
2024-05-01,ba_plus,71.3
2024-06-01,ba_plus,71.1
2024-07-01,ba_plus,71.0
2024-08-01,ba_plus,71.2
2024-09-01,ba_plus,71.2
2024-10-01,ba_plus,70.7
2024-11-01,ba_plus,70.7
2024-12-01,ba_plus,70.3
2025-01-01,ba_plus,70.7
2025-02-01,ba_plus,70.1
2025-03-01,ba_plus,70.1
2025-04-01,ba_plus,70.9
2025-05-01,ba_plus,70.4
2025-06-01,ba_plus,70.2
2025-07-01,ba_plus,69.6
2025-08-01,ba_plus,69.8
2025-09-01,ba_plus,70.0
2019-01-01,some_college_assoc,63.3
2019-02-01,some_college_assoc,63.4
2019-03-01,some_college_assoc,63.0
2019-04-01,some_college_assoc,62.8
2019-05-01,some_college_assoc,63.6
2019-06-01,some_college_assoc,62.8
2019-07-01,some_college_assoc,63.1
2019-08-01,some_college_assoc,63.6
2019-09-01,some_college_assoc,63.0
2019-10-01,some_college_assoc,62.9
2019-11-01,some_college_assoc,62.7
2019-12-01,some_college_assoc,62.9
2020-01-01,some_college_assoc,62.8
2020-02-01,some_college_assoc,62.8
2020-03-01,some_college_assoc,62.0
2020-04-01,some_college_assoc,53.2
2020-05-01,some_college_assoc,55.0
2020-06-01,some_college_assoc,56.9
2020-07-01,some_college_assoc,57.3
2020-08-01,some_college_assoc,58.9
