date,education_level,unemployment_rate
2019-01-01,some_college_assoc,3.5
2019-02-01,some_college_assoc,3.2
2019-03-01,some_college_assoc,3.4
2019-04-01,some_college_assoc,3.1
2019-05-01,some_college_assoc,2.7
2019-06-01,some_college_assoc,3.0
2019-07-01,some_college_assoc,3.1
2019-08-01,some_college_assoc,3.0
2019-09-01,some_college_assoc,2.9
2019-10-01,some_college_assoc,2.8
2019-11-01,some_college_assoc,3.0
2019-12-01,some_college_assoc,2.8
2020-01-01,some_college_assoc,2.9
2020-02-01,some_college_assoc,3.1
2020-03-01,some_college_assoc,3.8
2020-04-01,some_college_assoc,15.5
2020-05-01,some_college_assoc,13.7
2020-06-01,some_college_assoc,10.8
2020-07-01,some_college_assoc,9.6
2020-08-01,some_college_assoc,7.8
2020-09-01,some_college_assoc,8.2
2020-10-01,some_college_assoc,6.6
2020-11-01,some_college_assoc,6.4
2020-12-01,some_college_assoc,6.4
2021-01-01,some_college_assoc,6.1
2021-02-01,some_college_assoc,5.7
2021-03-01,some_college_assoc,5.9
2021-04-01,some_college_assoc,6.0
2021-05-01,some_college_assoc,5.9
2021-06-01,some_college_assoc,5.8
2021-07-01,some_college_assoc,4.9
2021-08-01,some_college_assoc,5.0
2021-09-01,some_college_assoc,4.5
2021-10-01,some_college_assoc,4.3
2021-11-01,some_college_assoc,3.7
2021-12-01,some_college_assoc,3.5
2022-01-01,some_college_assoc,3.5
2022-02-01,some_college_assoc,3.7
2022-03-01,some_college_assoc,3.1
2022-04-01,some_college_assoc,3.1
2022-05-01,some_college_assoc,3.4
2022-06-01,some_college_assoc,3.1
2022-07-01,some_college_assoc,2.8
2022-08-01,some_college_assoc,3.0
2022-09-01,some_college_assoc,2.9
2022-10-01,some_college_assoc,3.0
2022-11-01,some_college_assoc,3.2
2022-12-01,some_college_assoc,2.9
2023-01-01,some_college_assoc,2.9
2023-02-01,some_college_assoc,3.3
2023-03-01,some_college_assoc,3.0
2023-04-01,some_college_assoc,2.8
2023-05-01,some_college_assoc,3.2
2023-06-01,some_college_assoc,3.1
2023-07-01,some_college_assoc,3.1
2023-08-01,some_college_assoc,3.1
2023-09-01,some_college_assoc,3.0
2023-10-01,some_college_assoc,3.1
2023-11-01,some_college_assoc,2.8
2023-12-01,some_college_assoc,3.1
2024-01-01,some_college_assoc,3.3
2024-02-01,some_college_assoc,3.2
2024-03-01,some_college_assoc,3.4
2024-04-01,some_college_assoc,3.3
2024-05-01,some_college_assoc,3.1
2024-06-01,some_college_assoc,3.4
2024-07-01,some_college_assoc,3.5
2024-08-01,some_college_assoc,3.5
2024-09-01,some_college_assoc,3.4
2024-10-01,some_college_assoc,3.4
2024-11-01,some_college_assoc,3.6
2024-12-01,some_college_assoc,3.5
2025-01-01,some_college_assoc,3.5
2025-02-01,some_college_assoc,3.5
2025-03-01,some_college_assoc,3.5
2025-04-01,some_college_assoc,3.7
2025-05-01,some_college_assoc,3.3
2025-06-01,some_college_assoc,3.2
2025-07-01,some_college_assoc,3.0
2025-08-01,some_college_assoc,3.2
2025-09-01,some_college_assoc,3.4
