date,education_level,employment_population_ratio,unemployment_rate
2019-01-01,some_college_assoc,63.3,3.5
2019-02-01,some_college_assoc,63.4,3.2
2019-03-01,some_college_assoc,63.0,3.4
2019-04-01,some_college_assoc,62.8,3.1
2019-05-01,some_college_assoc,63.6,2.7
2019-06-01,some_college_assoc,62.8,3.0
2019-07-01,some_college_assoc,63.1,3.1
2019-08-01,some_college_assoc,63.6,3.0
2019-09-01,some_college_assoc,63.0,2.9
2019-10-01,some_college_assoc,62.9,2.8
2019-11-01,some_college_assoc,62.7,3.0
2019-12-01,some_college_assoc,62.9,2.8
2020-01-01,some_college_assoc,62.8,2.9
2020-02-01,some_college_assoc,62.8,3.1
2020-03-01,some_college_assoc,62.0,3.8
2020-04-01,some_college_assoc,53.2,15.5
2020-05-01,some_college_assoc,55.0,13.7
2020-06-01,some_college_assoc,56.9,10.8
2020-07-01,some_college_assoc,57.3,9.6
2020-08-01,some_college_assoc,58.9,7.8
2020-09-01,some_college_assoc,58.3,8.2
2020-10-01,some_college_assoc,58.5,6.6
2020-11-01,some_college_assoc,58.4,6.4
2020-12-01,some_college_assoc,58.6,6.4
2021-01-01,some_college_assoc,58.5,6.1
2021-02-01,some_college_assoc,59.1,5.7
2021-03-01,some_college_assoc,59.5,5.9
2021-04-01,some_college_assoc,59.4,6.0
2021-05-01,some_college_assoc,59.8,5.9
2021-06-01,some_college_assoc,59.5,5.8
2021-07-01,some_college_assoc,59.9,4.9
2021-08-01,some_college_assoc,60.3,5.0
2021-09-01,some_college_assoc,60.1,4.5
2021-10-01,some_college_assoc,60.1,4.3
2021-11-01,some_college_assoc,60.2,3.7
2021-12-01,some_college_assoc,60.5,3.5
2022-01-01,some_college_assoc,60.8,3.5
2022-02-01,some_college_assoc,61.2,3.7
2022-03-01,some_college_assoc,61.5,3.1
2022-04-01,some_college_assoc,61.4,3.1
2022-05-01,some_college_assoc,61.6,3.4
2022-06-01,some_college_assoc,60.8,3.1
2022-07-01,some_college_assoc,60.9,2.8
2022-08-01,some_college_assoc,61.2,3.0
2022-09-01,some_college_assoc,60.8,2.9
2022-10-01,some_college_assoc,60.8,3.0
2022-11-01,some_college_assoc,60.9,3.2
