"","OPE_ID","School_Name","School_Type","State","Total_Borrowers_Evaluated","Nonpayment_Rate"
"3","037093","Edward Via Virginia College of Osteopathic Medicine","PRIVATE NONPROFIT","VA",3900,0
"4","004949","Baylor College of Medicine","PRIVATE NONPROFIT","TX",1100,0.01
"5","009756","University of Massachusetts Medical School","PUBLIC","MA",1100,0.01
"6","041305","Pacific Northwest University of Health Sciences","PRIVATE NONPROFIT","WA",1200,0.01
"7","001230","Marshall B. Ketchum University","PRIVATE NONPROFIT","CA",1200,0.01
"8","042568","Arkansas Colleges of Health Education","PRIVATE NONPROFIT","AR",1300,0.01
"9","042267","Alabama College of Osteopathic Medicine","PRIVATE NONPROFIT","AL",1300,0.01
"10","010019","University of Texas Southwestern Medical Center (The)","PUBLIC","TX",1400,0.01
"11","011245","West Virginia School of Osteopathic Medicine","PUBLIC","WV",1400,0.01
"12","008067","Louisiana State University Health Sciences Center in Shreveport","PUBLIC","LA",1400,0.01
"13","039743","St. George's University, School of Veterinary Medicine","FOREIGN","FC",1900,0.01
"14","001295","Southwestern Law School","PRIVATE NONPROFIT","CA",2000,0.01
"15","024535","Medical College of Wisconsin","PRIVATE NONPROFIT","WI",2000,0.01
"16","042189","Rocky Vista University","PROPRIETARY","CO",2500,0.01
"17","001855","Des Moines University - Osteopathic Medical Center","PRIVATE NONPROFIT","IA",2800,0.01
"18","001319","University of California, San Francisco","PUBLIC","CA",2800,0.01
"19","002474","Kansas City University","PRIVATE NONPROFIT","MO",3300,0.01
"20","001659","Rosalind Franklin University of Medicine and Science","PRIVATE NONPROFIT","IL",3600,0.01
"21","022779","Ross University School of Veterinary Medicine","FOREIGN","FC",3700,0.01
"22","002477","A. T. Still University of Health Sciences","PRIVATE NONPROFIT","MO",6200,0.01
"23","024827","Western University of Health Sciences","PRIVATE NONPROFIT","CA",6800,0.01
"24","001657","Midwestern University","PRIVATE NONPROFIT","IL",12500,0.01
"25","042933","Hackensack Meridian School of Medicine","PRIVATE NONPROFIT","NJ",500,0.02
"26","002749","New York College of Podiatric Medicine","PRIVATE NONPROFIT","NY",600,0.02
"27","025340","National University of Natural Medicine","PRIVATE NONPROFIT","OR",900,0.02
"28","006693","University of London - London School of Economics & Political Science","FOREIGN","FC",1000,0.02
"29","042593","Burrell College of Osteopathic Medicine","PROPRIETARY","NM",1100,0.02
"30","038533","Keck Graduate Institute of Applied Life Sciences","PRIVATE NONPROFIT","CA",1200,0.02
"31","024544","Northeast Ohio Medical University","PUBLIC","OH",1600,0.02
"32","002178","Massachusetts Institute of Technology","PRIVATE NONPROFIT","MA",1600,0.02
"33","002677","Brooklyn Law School","PRIVATE NONPROFIT","NY",1700,0.02
"34","008916","New England Law | Boston","PRIVATE NONPROFIT","MA",1800,0.02
"35","003947","University of California College of the Law, San Francisco","PUBLIC","CA",1800,0.02
"36","003311","Salus University","PRIVATE NONPROFIT","PA",2000,0.02
"37","002840","State University of New York Upstate Medical University","PUBLIC","NY",2000,0.02
"38","002784","New York Medical College","PRIVATE NONPROFIT","NY",2100,0.02
"39","041932","Rocky Mountain University of Health Professions","PROPRIETARY","UT",2300,0.02
"40","022316","MGH Institute of Health Professions","PRIVATE NONPROFIT","MA",2400,0.02
"41","009768","University of North Texas Health Science Center at Fort Worth","PUBLIC","TX",2900,0.02
"42","003674","Independence University","PRIVATE NONPROFIT","UT",3200,0.02
"43","040653","Roseman University of Health Sciences","PRIVATE NONPROFIT","NV",3400,0.02
"44","009800","Rush University","PRIVATE NONPROFIT","IL",3800,0.02
"45","004882","Oregon Health & Science University","PUBLIC","OR",3800,0.02
"46","012300","Palmer College of Chiropractic","PRIVATE NONPROFIT","IA",4200,0.02
"47","006895","University of Nebraska Medical Center","PUBLIC","NE",4400,0.02
"48","006725","University of Tennessee Health Science Center","PUBLIC","TN",4500,0.02
"49","041426","Touro University","PRIVATE NONPROFIT","CA",4800,0.02
"50","003438","Medical University of South Carolina","PUBLIC","SC",5100,0.02
"51","003352","Philadelphia College of Osteopathic Medicine","PRIVATE NONPROFIT","PA",5700,0.02
"52","030908","Lake Erie College of Osteopathic Medicine","PRIVATE NONPROFIT","PA",7400,0.02
"53","022333","St.  George's University, School of Medicine","FOREIGN","FC",8400,0.02
"54","002219","Tufts University","PRIVATE NONPROFIT","MA",8600,0.02
"55","031713","University of St. Augustine for Health Sciences","PROPRIETARY","CA",9200,0.02
"56","022220","American Film Institute Conservatory","PRIVATE NONPROFIT","CA",400,0.03
"57","041806","Appalachian College of Pharmacy","PRIVATE NONPROFIT","VA",400,0.03
"58","006700","University of York","FOREIGN","FC",400,0.03
"59","042510","Inter American University of Puerto Rico - School of Optometry","PRIVATE NONPROFIT","PR",400,0.03
"60","021989","Michigan School of Psychology","PRIVATE NONPROFIT","MI",400,0.03
"61","006688","University of Toronto","FOREIGN","FC",400,0.03
"62","001171","Harvey Mudd College","PRIVATE NONPROFIT","CA",400,0.03
"63","003635","Texas Chiropractic College","PRIVATE NONPROFIT","TX",500,0.03
"64","006842","University of Dublin Trinity College","FOREIGN","FC",900,0.03
"65","020637","Sherman College of Straight Chiropractic","PRIVATE NONPROFIT","SC",900,0.03
"66","030691","Allen College","PRIVATE NONPROFIT","IA",900,0.03
"67","031913","CUNY School of Law","PUBLIC","NY",1000,0.03
"68","012277","Northeast College of Health Sciences","PRIVATE NONPROFIT","NY",1000,0.03
"69","006695","University of London - University College London","FOREIGN","FC",1000,0.03
"70","002728","Hamilton College","PRIVATE NONPROFIT","NY",1100,0.03
"71","002886","Albany Law School of Union University","PRIVATE NONPROFIT","NY",1100,0.03
"72","002358","Macalester College","PRIVATE NONPROFIT","MN",1200,0.03
"73","021636","William James College","PRIVATE NONPROFIT","MA",1200,0.03
"74","031268","Pacifica Graduate Institute","PROPRIETARY","CA",1200,0.03
"75","008383","University of Glasgow","FOREIGN","FC",1200,0.03
"76","041672","Geisinger Commonwealth School of Medicine","PRIVATE NONPROFIT","PA",1300,0.03
"77","003768","Washington and Lee University","PRIVATE NONPROFIT","VA",1300,0.03
"78","012309","University of Western States","PRIVATE NONPROFIT","OR",1300,0.03
"79","021383","Palo Alto University","PRIVATE NONPROFIT","CA",1300,0.03
"80","011934","Vermont Law and Graduate School","PRIVATE NONPROFIT","VT",1400,0.03
"81","040963","Charleston School of Law","PROPRIETARY","SC",1400,0.03
"82","022425","Bastyr University","PRIVATE NONPROFIT","WA",1400,0.03
"83","013103","California Western School of Law","PRIVATE NONPROFIT","CA",1500,0.03
"84","024821","Morehouse School of Medicine","PRIVATE NONPROFIT","GA",1700,0.03
"85","002783","New York Law School","PRIVATE NONPROFIT","NY",1700,0.03
"86","002391","Mitchell Hamline School of Law","PRIVATE NONPROFIT","MN",1900,0.03
"87","006839","University of Edinburgh","FOREIGN","FC",2000,0.03
"88","001169","Claremont Graduate University","PRIVATE NONPROFIT","CA",2100,0.03
"89","003506","Meharry Medical College","PRIVATE NONPROFIT","TN",2200,0.03
"90","008147","Universidad Autonoma de Guadalajara","FOREIGN","FC",2300,0.03
"91","003604","William Marsh Rice University","PRIVATE NONPROFIT","TX",2300,0.03
"92","022444","American University of the Caribbean","FOREIGN","FC",2900,0.03
"93","001305","Stanford University","PRIVATE NONPROFIT","CA",3300,0.03
"94","007012","Samuel Merritt University","PRIVATE NONPROFIT","CA",4100,0.03
"95","003659","University of Texas Health Science Center at San Antonio","PUBLIC","TX",4400,0.03
"96","003242","Carnegie Mellon University","PRIVATE NONPROFIT","PA",4900,0.03
"97","001426","Yale University","PRIVATE NONPROFIT","CT",5500,0.03
"98","022460","Ross University, School of Medicine","FOREIGN","FC",5500,0.03
"99","001840","University of Notre Dame","PRIVATE NONPROFIT","IN",6000,0.03
"100","001774","University of Chicago (The)","PRIVATE NONPROFIT","IL",6600,0.03
"101","001218","Loma Linda University","PRIVATE NONPROFIT","CA",6900,0.03
"102","003535","Vanderbilt University","PRIVATE NONPROFIT","TN",7900,0.03
"103","002155","Harvard University","PRIVATE NONPROFIT","MA",8100,0.03
"104","002104","University of Maryland, Baltimore","PUBLIC","MD",9000,0.03
"105","003024","Case Western Reserve University","PRIVATE NONPROFIT","OH",9100,0.03
"106","002920","Duke University","PRIVATE NONPROFIT","NC",9900,0.03
"107","001564","Emory University","PRIVATE NONPROFIT","GA",11500,0.03
"108","003378","University of Pennsylvania","PRIVATE NONPROFIT","PA",12600,0.03
"109","001739","Northwestern University","PRIVATE NONPROFIT","IL",13200,0.03
"110","001445","Georgetown University","PRIVATE NONPROFIT","DC",16800,0.03
"111","033743","Florida Coastal School of Law","PROPRIETARY","FL",300,0.04
"112","022736","Queen's University of Belfast (The)","FOREIGN","FC",300,0.04
"113","008665","University of Kent","FOREIGN","FC",300,0.04
"114","012766","National University of Ireland, Galway","FOREIGN","FC",300,0.04
"115","012136","University of Manchester (The)","FOREIGN","FC",300,0.04
"116","034664","Seattle School of Theology and Psychology (The)","PRIVATE NONPROFIT","WA",300,0.04
"117","030672","University of Sydney","FOREIGN","FC",300,0.04
"118","006225","Trinity College of Nursing & Health Sciences","PRIVATE NONPROFIT","IL",400,0.04
"119","020758","Southern California Institute of Architecture (The)","PRIVATE NONPROFIT","CA",400,0.04
"120","008587","University of Durham","FOREIGN","FC",400,0.04
"121","001174","Scripps College","PRIVATE NONPROFIT","CA",400,0.04
"122","030519","Adler Graduate School","PRIVATE NONPROFIT","MN",400,0.04
"123","003370","Swarthmore College","PRIVATE NONPROFIT","PA",500,0.04
"124","036914","Ave Maria School of Law","PRIVATE NONPROFIT","FL",600,0.04
"125","002039","Colby College","PRIVATE NONPROFIT","ME",600,0.04
"126","032253","American University of Health Sciences","PROPRIETARY","CA",800,0.04
"127","021633","Universidad Central del Caribe","PRIVATE NONPROFIT","PR",800,0.04
"128","002340","Carleton College","PRIVATE NONPROFIT","MN",800,0.04
"129","003065","Kenyon College","PRIVATE NONPROFIT","OH",900,0.04
"130","007026","Icahn School of Medicine at Mount Sinai","PRIVATE NONPROFIT","NY",900,0.04
"131","006677","McGill University","FOREIGN","FC",900,0.04
"132","002224","Wellesley College","PRIVATE NONPROFIT","MA",1000,0.04
"133","022285","Life Chiropractic College West","PRIVATE NONPROFIT","CA",1100,0.04
"134","001732","National University of Health Sciences (The)","PRIVATE NONPROFIT","IL",1100,0.04
"135","010188","University College Dublin, National University of Ireland, Dublin","FOREIGN","FC",1200,0.04
"136","001200","Fuller Theological Seminary","PRIVATE NONPROFIT","CA",1200,0.04
"137","042509","Inter American University of Puerto Rico - School of Law","PRIVATE NONPROFIT","PR",1300,0.04
"138","002895","Vassar College","PRIVATE NONPROFIT","NY",1500,0.04
"139","021206","Saybrook University","PRIVATE NONPROFIT","CA",1500,0.04
"140","004977","South Texas College of Law Houston","PRIVATE NONPROFIT","TX",2000,0.04
