date,education_level,median_weekly_earnings
2019-01-01,ba_only,1213.0
2019-04-01,ba_only,1236.0
2019-07-01,ba_only,1281.0
2019-10-01,ba_only,1259.0
2020-01-01,ba_only,1263.0
2020-04-01,ba_only,1303.0
2020-07-01,ba_only,1355.0
2020-10-01,ba_only,1283.0
2021-01-01,ba_only,1296.0
2021-04-01,ba_only,1314.0
2021-07-01,ba_only,1358.0
2021-10-01,ba_only,1351.0
2022-01-01,ba_only,1395.0
2022-04-01,ba_only,1441.0
2022-07-01,ba_only,1452.0
2022-10-01,ba_only,1435.0
2023-01-01,ba_only,1488.0
2023-04-01,ba_only,1467.0
2023-07-01,ba_only,1499.0
2023-10-01,ba_only,1509.0
2024-01-01,ba_only,1551.0
2024-04-01,ba_only,1541.0
2024-07-01,ba_only,1533.0
2024-10-01,ba_only,1547.0
2025-01-01,ba_only,1603.0
2025-04-01,ba_only,1559.0
2019-01-01,some_college_assoc,835.0
2019-04-01,some_college_assoc,848.0
2019-07-01,some_college_assoc,874.0
2019-10-01,some_college_assoc,870.0
2020-01-01,some_college_assoc,879.0
2020-04-01,some_college_assoc,904.0
2020-07-01,some_college_assoc,914.0
2020-10-01,some_college_assoc,917.0
2021-01-01,some_college_assoc,912.0
2021-04-01,some_college_assoc,915.0
2021-07-01,some_college_assoc,942.0
2021-10-01,some_college_assoc,931.0
2022-01-01,some_college_assoc,938.0
2022-04-01,some_college_assoc,961.0
2022-07-01,some_college_assoc,993.0
2022-10-01,some_college_assoc,983.0
2023-01-01,some_college_assoc,995.0
2023-04-01,some_college_assoc,1010.0
2023-07-01,some_college_assoc,1012.0
2023-10-01,some_college_assoc,1058.0
2024-01-01,some_college_assoc,1027.0
2024-04-01,some_college_assoc,1057.0
2024-07-01,some_college_assoc,1053.0
2024-10-01,some_college_assoc,1089.0
2025-01-01,some_college_assoc,1096.0
2025-04-01,some_college_assoc,1086.0
2019-01-01,high_school,739.0
2019-04-01,high_school,751.0
2019-07-01,high_school,749.0
2019-10-01,high_school,747.0
2020-01-01,high_school,768.0
2020-04-01,high_school,788.0
2020-07-01,high_school,793.0
2020-10-01,high_school,781.0
2021-01-01,high_school,792.0
2021-04-01,high_school,793.0
2021-07-01,high_school,817.0
2021-10-01,high_school,831.0
2022-01-01,high_school,827.0
2022-04-01,high_school,838.0
2022-07-01,high_school,866.0
2022-10-01,high_school,875.0
2023-01-01,high_school,884.0
2023-04-01,high_school,889.0
2023-07-01,high_school,905.0
2023-10-01,high_school,917.0
2024-01-01,high_school,901.0
2024-04-01,high_school,916.0
2024-07-01,high_school,946.0
2024-10-01,high_school,977.0
2025-01-01,high_school,953.0
2025-04-01,high_school,960.0
