sector,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
healthcare social assistance,2015,99000,125000,124000,112000,123000,112000,119000,109000,141000,111000,122000,136000
healthcare social assistance,2016,126000,118000,128000,110000,124000,132000,120000,181000,113000,138000,164000,129000
healthcare social assistance,2017,97000,126000,125000,128000,148000,123000,143000,212000,126000,128000,143000,146000
healthcare social assistance,2018,141000,133000,180000,136000,120000,155000,134000,118000,126000,131000,133000,116000
healthcare social assistance,2019,141000,137000,131000,145000,134000,141000,150000,107000,147000,143000,132000,122000
healthcare social assistance,2020,142000,144000,1239000,811000,212000,178000,144000,162000,123000,120000,165000,119000
healthcare social assistance,2021,125000,142000,109000,114000,115000,115000,50000,86000,114000,109000,118000,173000
healthcare social assistance,2022,137000,115000,112000,130000,146000,123000,143000,113000,127000,102000,112000,115000
healthcare social assistance,2023,119000,122000,147000,143000,133000,158000,153000,181000,143000,164000,145000,163000
healthcare social assistance,2024,124000,163000,142000,175000,143000,108000,152000,144000,159000,164000,161000,165000
healthcare social assistance,2025,163000,164000,125000,185000,141000,143000,156000,149000,,,,
private educational services,2015,32000,31000,30000,30000,32000,38000,25000,38000,37000,46000,39000,19000
private educational services,2016,35000,42000,36000,38000,37000,41000,36000,26000,21000,29000,31000,28000
private educational services,2017,29000,16000,31000,38000,38000,38000,32000,34000,32000,47000,39000,48000
private educational services,2018,43000,38000,40000,33000,35000,33000,54000,45000,38000,30000,48000,42000
private educational services,2019,45000,43000,37000,40000,38000,29000,26000,32000,34000,30000,30000,27000
private educational services,2020,20000,24000,315000,265000,45000,48000,42000,15000,26000,34000,44000,51000
private educational services,2021,13000,19000,21000,29000,16000,19000,18000,24000,23000,18000,23000,22000
private educational services,2022,27000,30000,22000,20000,31000,22000,25000,22000,29000,34000,24000,36000
private educational services,2023,33000,39000,32000,22000,17000,30000,28000,33000,27000,29000,24000,20000
private educational services,2024,23000,13000,33000,35000,35000,37000,36000,30000,42000,29000,28000,27000
private educational services,2025,26000,28000,27000,30000,27000,22000,27000,31000,,,,
trade transportation utilities,2015,361000,318000,392000,339000,336000,361000,353000,321000,318000,315000,309000,302000
trade transportation utilities,2016,320000,317000,295000,293000,340000,320000,341000,307000,328000,279000,287000,265000
trade transportation utilities,2017,303000,306000,333000,290000,305000,350000,268000,294000,279000,278000,349000,330000
trade transportation utilities,2018,369000,299000,318000,352000,291000,321000,316000,384000,345000,358000,377000,366000
trade transportation utilities,2019,310000,317000,313000,346000,324000,312000,367000,360000,384000,368000,314000,341000
trade transportation utilities,2020,327000,457000,2078000,1626000,437000,423000,304000,323000,307000,332000,298000,272000
trade transportation utilities,2021,413000,303000,273000,255000,255000,282000,268000,276000,236000,252000,243000,186000
trade transportation utilities,2022,256000,222000,250000,243000,272000,226000,291000,340000,312000,265000,253000,289000
