state,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
co,2018,129000,148000,147000,131000,133000,138000,123000,145000,157000,144000,154000,156000
co,2019,156000,150000,155000,154000,152000,150000,154000,148000,148000,131000,134000,129000
co,2020,124000,124000,102000,98000,111000,99000,108000,111000,115000,107000,108000,113000
co,2021,137000,132000,138000,193000,212000,241000,229000,225000,207000,195000,210000,249000
co,2022,226000,202000,223000,234000,240000,227000,229000,207000,207000,227000,206000,286000
co,2023,270000,260000,230000,267000,196000,200000,179000,198000,198000,199000,236000,211000
co,2024,186000,183000,186000,189000,184000,178000,197000,157000,166000,185000,157000,123000
co,2025,153000,160000,138000,145000,129000,125000,123000,130000,,,,
nv,2018,66000,63000,71000,63000,64000,66000,60000,77000,75000,77000,72000,76000
nv,2019,65000,67000,69000,67000,71000,70000,67000,62000,61000,61000,67000,70000
nv,2020,72000,62000,60000,38000,53000,75000,79000,66000,70000,77000,64000,62000
nv,2021,74000,76000,95000,100000,120000,130000,143000,122000,104000,113000,112000,104000
nv,2022,109000,117000,114000,121000,106000,97000,111000,96000,96000,103000,94000,104000
nv,2023,106000,101000,107000,113000,94000,91000,82000,100000,98000,82000,90000,78000
nv,2024,76000,90000,69000,69000,68000,61000,64000,67000,69000,78000,74000,78000
nv,2025,77000,82000,67000,68000,69000,62000,65000,64000,,,,
mi,2018,225000,214000,216000,218000,226000,215000,227000,238000,236000,238000,222000,246000
mi,2019,223000,203000,239000,226000,223000,223000,211000,204000,211000,238000,216000,199000
mi,2020,216000,211000,156000,92000,131000,226000,219000,220000,201000,198000,217000,217000
mi,2021,266000,284000,278000,316000,352000,367000,379000,366000,361000,389000,354000,322000
mi,2022,344000,356000,362000,369000,352000,309000,329000,259000,321000,274000,279000,312000
mi,2023,280000,259000,251000,292000,250000,246000,217000,236000,253000,237000,261000,270000
mi,2024,251000,243000,242000,207000,217000,206000,203000,213000,223000,214000,215000,198000
mi,2025,205000,206000,220000,227000,226000,243000,252000,252000,,,,
tn,2018,134000,130000,138000,158000,131000,147000,154000,151000,165000,171000,156000,168000
tn,2019,159000,137000,145000,144000,140000,133000,123000,151000,161000,144000,140000,118000
tn,2020,140000,164000,145000,96000,144000,149000,147000,138000,148000,151000,150000,156000
tn,2021,179000,179000,194000,201000,233000,225000,242000,241000,238000,244000,263000,250000
tn,2022,246000,277000,301000,271000,274000,257000,266000,236000,271000,241000,263000,256000
tn,2023,261000,246000,231000,227000,225000,224000,170000,218000,310000,216000,208000,217000
tn,2024,200000,189000,178000,190000,170000,161000,165000,170000,161000,178000,194000,161000
tn,2025,170000,154000,166000,163000,165000,170000,145000,144000,,,,
wa,2018,152000,135000,146000,150000,153000,175000,164000,161000,167000,155000,159000,155000
wa,2019,146000,165000,159000,181000,159000,164000,172000,175000,157000,147000,165000,165000
wa,2020,190000,165000,128000,80000,126000,136000,121000,129000,119000,129000,143000,136000
wa,2021,121000,159000,173000,190000,201000,218000,237000,223000,229000,236000,220000,224000
wa,2022,222000,256000,255000,244000,232000,211000,275000,202000,218000,210000,197000,253000
wa,2023,211000,183000,174000,185000,162000,161000,163000,177000,160000,147000,167000,148000
wa,2024,162000,183000,156000,132000,151000,142000,143000,138000,142000,162000,147000,169000
wa,2025,141000,138000,137000,127000,136000,137000,139000,133000,,,,
ms,2018,47000,45000,50000,47000,48000,50000,50000,56000,53000,56000,57000,57000
ms,2019,53000,53000,54000,56000,55000,55000,47000,53000,57000,51000,50000,47000
ms,2020,52000,54000,45000,37000,53000,56000,59000,64000,57000,60000,63000,61000
ms,2021,56000,65000,81000,76000,88000,84000,92000,83000,82000,87000,81000,89000
ms,2022,90000,89000,96000,89000,87000,88000,95000,83000,90000,81000,88000,88000
ms,2023,89000,81000,81000,90000,84000,84000,79000,85000,80000,80000,76000,74000
ms,2024,69000,70000,68000,66000,69000,61000,63000,63000,58000,74000,81000,63000
ms,2025,63000,62000,61000,62000,68000,61000,60000,60000,,,,
ne,2018,55000,49000,51000,51000,53000,53000,54000,49000,52000,54000,59000,52000
ne,2019,54000,49000,50000,49000,51000,52000,50000,47000,49000,50000,49000,46000
ne,2020,50000,49000,42000,37000,32000,39000,50000,44000,47000,49000,53000,50000
ne,2021,51000,53000,55000,58000,63000,67000,66000,70000,68000,74000,63000,69000
ne,2022,83000,75000,77000,82000,72000,73000,73000,62000,68000,59000,61000,70000
ne,2023,68000,65000,58000,64000,63000,63000,51000,63000,59000,53000,56000,57000
ne,2024,49000,57000,50000,44000,47000,46000,44000,48000,47000,52000,48000,47000
ne,2025,48000,49000,50000,45000,47000,48000,46000,46000,,,,
va,2018,188000,188000,199000,192000,191000,211000,202000,203000,219000,186000,212000,193000
va,2019,211000,216000,221000,212000,221000,220000,222000,222000,218000,251000,215000,211000
va,2020,217000,213000,206000,157000,163000,191000,191000,218000,186000,210000,205000,212000
va,2021,209000,256000,233000,266000,281000,270000,294000,299000,333000,281000,310000,300000
va,2022,296000,294000,321000,311000,311000,327000,331000,316000,340000,343000,332000,352000
va,2023,347000,334000,332000,269000,301000,287000,233000,260000,260000,243000,267000,264000
va,2024,259000,264000,249000,256000,254000,216000,251000,271000,247000,272000,254000,236000
va,2025,255000,206000,208000,188000,238000,217000,221000,222000,,,,
nh,2018,32000,31000,34000,35000,32000,33000,33000,29000,33000,33000,32000,31000
nh,2019,33000,30000,31000,28000,33000,33000,31000,34000,32000,31000,31000,33000
nh,2020,33000,36000,33000,26000,29000,31000,28000,30000,30000,32000,31000,33000
nh,2021,34000,39000,40000,48000,53000,55000,63000,56000,50000,55000,59000,60000
nh,2022,59000,61000,59000,54000,52000,53000,54000,43000,54000,56000,51000,48000
nh,2023,50000,48000,44000,47000,38000,41000,43000,41000,40000,37000,37000,39000
nh,2024,40000,38000,38000,36000,39000,37000,34000,35000,41000,36000,36000,32000
nh,2025,36000,35000,31000,36000,38000,37000,33000,33000,,,,
tx,2018,503000,486000,493000,474000,499000,562000,591000,517000,558000,581000,619000,622000
tx,2019,614000,594000,591000,625000,600000,572000,573000,596000,562000,542000,535000,499000
tx,2020,529000,529000,418000,289000,416000,423000,423000,474000,598000,550000,557000,546000
tx,2021,590000,642000,734000,813000,867000,918000,941000,945000,903000,988000,965000,960000
tx,2022,948000,964000,1083000,1096000,1025000,1053000,1028000,900000,1024000,939000,894000,909000
tx,2023,862000,843000,772000,793000,783000,777000,767000,786000,804000,763000,804000,791000
tx,2024,786000,736000,710000,618000,641000,581000,568000,631000,503000,578000,667000,585000
tx,2025,581000,578000,561000,593000,650000,560000,566000,600000,,,,
ga,2018,224000,222000,222000,230000,231000,232000,235000,233000,231000,243000,232000,239000
ga,2019,228000,227000,242000,235000,219000,220000,222000,227000,245000,241000,240000,241000
ga,2020,238000,227000,182000,156000,217000,235000,254000,255000,235000,241000,253000,292000
ga,2021,310000,307000,328000,346000,375000,380000,394000,418000,414000,432000,431000,428000
