sector,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
state and local government other,2015,283000,271000,275000,281000,289000,210000,282000,253000,270000,257000,263000,270000
state and local government other,2016,260000,240000,251000,262000,286000,266000,288000,270000,282000,280000,334000,258000
state and local government other,2017,261000,287000,280000,287000,270000,324000,284000,295000,310000,300000,294000,318000
state and local government other,2018,301000,325000,334000,325000,319000,337000,365000,373000,320000,295000,336000,320000
state and local government other,2019,363000,355000,360000,363000,369000,403000,316000,398000,391000,413000,410000,423000
state and local government other,2020,421000,398000,372000,352000,348000,367000,344000,393000,395000,403000,371000,361000
state and local government other,2021,343000,416000,419000,498000,476000,416000,471000,435000,584000,537000,520000,596000
state and local government other,2022,575000,571000,580000,577000,575000,540000,585000,579000,598000,587000,565000,571000
state and local government other,2023,578000,547000,593000,581000,553000,658000,578000,545000,526000,512000,558000,558000
state and local government other,2024,497000,528000,505000,466000,614000,594000,527000,579000,461000,502000,498000,466000
state and local government other,2025,489000,480000,446000,462000,459000,445000,423000,446000,,,,
construction,2015,147000,171000,165000,152000,158000,145000,147000,143000,122000,136000,123000,158000
construction,2016,169000,193000,206000,178000,176000,178000,210000,186000,260000,219000,204000,183000
construction,2017,161000,190000,175000,207000,172000,203000,210000,206000,194000,204000,243000,232000
construction,2018,250000,218000,223000,223000,266000,289000,272000,286000,315000,275000,314000,394000
construction,2019,309000,287000,359000,405000,357000,302000,323000,328000,332000,326000,242000,257000
construction,2020,299000,291000,226000,211000,283000,228000,306000,254000,227000,242000,260000,253000
construction,2021,317000,248000,344000,321000,306000,327000,376000,386000,352000,403000,365000,390000
construction,2022,428000,387000,445000,441000,412000,401000,375000,334000,434000,397000,317000,422000
construction,2023,306000,389000,298000,379000,380000,420000,359000,379000,421000,415000,449000,453000
construction,2024,407000,429000,338000,326000,375000,285000,229000,304000,251000,249000,277000,205000
construction,2025,242000,286000,251000,242000,232000,242000,303000,188000,,,,
federal,2015,85000,86000,83000,94000,83000,91000,99000,91000,73000,96000,98000,99000
federal,2016,93000,98000,93000,96000,99000,86000,95000,100000,110000,90000,93000,155000
federal,2017,80000,79000,83000,83000,113000,102000,104000,82000,90000,88000,78000,96000
federal,2018,113000,72000,105000,81000,101000,112000,117000,123000,91000,103000,119000,117000
federal,2019,130000,128000,122000,163000,112000,111000,116000,112000,114000,127000,116000,93000
federal,2020,147000,113000,124000,108000,77000,121000,289000,114000,102000,101000,100000,102000
federal,2021,99000,98000,137000,160000,130000,141000,117000,126000,137000,126000,161000,145000
federal,2022,119000,159000,128000,121000,125000,111000,166000,129000,188000,117000,138000,140000
federal,2023,172000,136000,136000,162000,178000,174000,152000,185000,163000,175000,166000,156000
federal,2024,140000,147000,162000,137000,169000,108000,143000,148000,140000,142000,121000,138000
federal,2025,132000,134000,121000,128000,94000,117000,138000,77000,,,,
healthcare social assistance,2015,815000,823000,815000,905000,890000,903000,1047000,942000,982000,950000,994000,939000
healthcare social assistance,2016,1095000,891000,973000,983000,991000,971000,1018000,966000,997000,1105000,1099000,1097000
healthcare social assistance,2017,1079000,1119000,1014000,1016000,997000,1083000,1036000,1067000,1044000,1038000,1010000,1066000
healthcare social assistance,2018,1046000,1094000,1120000,1117000,1099000,1119000,1119000,1123000,1198000,1147000,1167000,1221000
healthcare social assistance,2019,1241000,1108000,1240000,1272000,1237000,1177000,1178000,1207000,1112000,1174000,1160000,1134000
healthcare social assistance,2020,1202000,1157000,1050000,855000,925000,1039000,1090000,1129000,1110000,1194000,1210000,1155000
healthcare social assistance,2021,1211000,1479000,1342000,1434000,1585000,1592000,1695000,1639000,1776000,1877000,1900000,1932000
healthcare social assistance,2022,1935000,1997000,2115000,2036000,2041000,2002000,2075000,1973000,2058000,1986000,1905000,1921000
healthcare social assistance,2023,1827000,1659000,1720000,1787000,1667000,1755000,1770000,1923000,1786000,1635000,1719000,1808000
healthcare social assistance,2024,1890000,1765000,1693000,1541000,1674000,1609000,1519000,1499000,1304000,1459000,1520000,1421000
healthcare social assistance,2025,1498000,1405000,1368000,1547000,1615000,1435000,1297000,1378000,,,,
accommodation food services,2015,716000,653000,630000,648000,632000,599000,692000,637000,631000,708000,678000,670000
accommodation food services,2016,668000,685000,708000,650000,651000,700000,651000,708000,659000,652000,658000,654000
accommodation food services,2017,644000,805000,653000,759000,776000,735000,749000,812000,685000,708000,790000,797000
accommodation food services,2018,843000,789000,829000,853000,847000,903000,918000,895000,982000,921000,925000,960000
accommodation food services,2019,1018000,893000,904000,905000,884000,836000,845000,833000,881000,857000,854000,789000
accommodation food services,2020,751000,801000,544000,270000,608000,749000,699000,683000,711000,720000,729000,700000
accommodation food services,2021,642000,825000,950000,1137000,1248000,1368000,1579000,1534000,1416000,1451000,1401000,1477000
accommodation food services,2022,1405000,1513000,1478000,1461000,1433000,1430000,1417000,1277000,1326000,1367000,1347000,1465000
accommodation food services,2023,1331000,1199000,1211000,1148000,1154000,1067000,1051000,1031000,1192000,989000,1003000,759000
accommodation food services,2024,917000,918000,1012000,898000,732000,777000,813000,844000,831000,1068000,896000,963000
accommodation food services,2025,901000,900000,825000,727000,1062000,864000,880000,986000,,,,
state and local government education,2015,157000,158000,143000,146000,150000,170000,167000,150000,127000,174000,163000,173000
state and local government education,2016,162000,150000,152000,143000,153000,128000,204000,140000,136000,114000,150000,147000
