state,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ar,2018,44000,48000,50000,49000,58000,55000,52000,54000,50000,53000,57000,59000
ar,2019,51000,56000,64000,52000,52000,48000,58000,53000,54000,49000,50000,58000
ar,2020,52000,60000,106000,80000,35000,52000,46000,48000,52000,54000,53000,56000
ar,2021,48000,56000,50000,57000,55000,53000,66000,61000,67000,56000,61000,60000
ar,2022,64000,58000,68000,60000,58000,58000,55000,61000,56000,55000,60000,60000
ar,2023,56000,58000,59000,57000,65000,57000,49000,55000,56000,52000,55000,51000
ar,2024,51000,50000,47000,53000,51000,46000,49000,46000,46000,58000,42000,46000
ar,2025,47000,53000,47000,51000,45000,44000,41000,42000,,,,
il,2018,209000,181000,208000,193000,231000,231000,225000,215000,226000,248000,228000,216000
il,2019,183000,210000,194000,187000,205000,184000,203000,212000,181000,209000,184000,202000
il,2020,201000,220000,673000,436000,204000,196000,219000,199000,231000,245000,251000,255000
il,2021,213000,236000,241000,257000,235000,232000,215000,247000,247000,201000,240000,227000
il,2022,243000,242000,217000,236000,230000,211000,208000,204000,258000,215000,243000,228000
il,2023,217000,207000,214000,223000,196000,205000,205000,231000,190000,188000,190000,207000
il,2024,204000,195000,210000,215000,217000,206000,177000,217000,184000,189000,178000,175000
il,2025,196000,197000,203000,190000,200000,189000,200000,214000,,,,
id,2018,30000,28000,32000,31000,30000,32000,32000,32000,29000,33000,32000,31000
id,2019,30000,35000,34000,31000,36000,32000,37000,34000,36000,36000,36000,37000
id,2020,32000,36000,73000,77000,26000,30000,31000,25000,27000,31000,38000,34000
id,2021,33000,32000,34000,40000,40000,39000,37000,38000,39000,37000,37000,39000
id,2022,38000,38000,37000,44000,38000,37000,44000,40000,40000,41000,42000,52000
id,2023,41000,38000,40000,41000,39000,34000,38000,42000,43000,34000,38000,32000
id,2024,40000,39000,37000,35000,39000,37000,36000,35000,36000,32000,35000,38000
id,2025,49000,40000,35000,34000,37000,39000,47000,36000,,,,
ne,2018,40000,35000,38000,38000,39000,38000,39000,40000,41000,44000,43000,38000
ne,2019,34000,39000,35000,38000,38000,42000,39000,36000,37000,38000,38000,37000
ne,2020,41000,45000,103000,47000,29000,34000,38000,36000,38000,40000,42000,33000
ne,2021,39000,43000,41000,39000,34000,41000,37000,37000,37000,35000,38000,38000
ne,2022,37000,37000,37000,47000,40000,33000,34000,34000,36000,36000,36000,38000
ne,2023,47000,33000,35000,38000,36000,35000,36000,42000,37000,32000,39000,35000
ne,2024,38000,35000,32000,35000,36000,34000,36000,38000,33000,34000,35000,32000
ne,2025,34000,33000,34000,36000,36000,37000,34000,34000,,,,
wy,2018,13000,14000,13000,13000,13000,14000,17000,15000,13000,14000,13000,14000
wy,2019,14000,13000,15000,16000,16000,14000,17000,15000,16000,17000,17000,17000
wy,2020,16000,16000,34000,19000,12000,13000,13000,10000,11000,11000,14000,12000
wy,2021,14000,13000,14000,14000,15000,13000,15000,16000,14000,14000,15000,15000
wy,2022,15000,16000,15000,15000,15000,14000,15000,19000,14000,16000,15000,16000
wy,2023,15000,14000,13000,14000,12000,13000,12000,15000,14000,12000,14000,14000
wy,2024,13000,14000,13000,12000,13000,13000,13000,11000,12000,11000,8000,15000
wy,2025,14000,13000,12000,12000,12000,14000,15000,15000,,,,
oh,2018,188000,201000,202000,215000,216000,212000,244000,212000,195000,235000,228000,218000
oh,2019,230000,196000,207000,224000,212000,199000,222000,187000,254000,160000,211000,200000
oh,2020,204000,217000,647000,409000,166000,189000,202000,194000,198000,204000,207000,206000
oh,2021,187000,202000,204000,189000,195000,205000,198000,195000,226000,194000,202000,223000
oh,2022,212000,219000,188000,199000,196000,237000,204000,212000,207000,212000,198000,230000
oh,2023,219000,200000,201000,207000,207000,195000,211000,216000,199000,204000,200000,184000
oh,2024,182000,219000,193000,205000,192000,183000,194000,201000,193000,201000,191000,194000
oh,2025,205000,174000,208000,213000,207000,232000,179000,185000,,,,
ct,2018,53000,43000,49000,48000,50000,52000,49000,46000,46000,42000,44000,41000
ct,2019,45000,43000,63000,53000,53000,54000,48000,50000,50000,58000,57000,52000
ct,2020,58000,62000,194000,124000,44000,47000,46000,47000,49000,47000,60000,67000
ct,2021,44000,45000,47000,47000,51000,49000,56000,57000,58000,53000,58000,49000
ct,2022,57000,55000,50000,56000,56000,55000,58000,58000,55000,46000,71000,54000
ct,2023,58000,56000,57000,55000,61000,55000,54000,46000,47000,53000,48000,66000
ct,2024,51000,55000,54000,55000,57000,53000,46000,51000,51000,55000,48000,43000
ct,2025,60000,54000,68000,56000,48000,64000,53000,71000,,,,
de,2018,18000,20000,21000,19000,18000,20000,20000,20000,20000,19000,21000,21000
de,2019,21000,21000,20000,23000,22000,20000,19000,20000,22000,20000,21000,20000
de,2020,20000,19000,44000,40000,16000,17000,17000,19000,15000,19000,19000,19000
de,2021,19000,16000,20000,20000,21000,21000,21000,22000,23000,21000,22000,23000
de,2022,23000,21000,24000,24000,22000,24000,21000,23000,22000,27000,23000,21000
de,2023,30000,25000,22000,21000,21000,20000,20000,20000,22000,18000,18000,17000
de,2024,18000,17000,16000,18000,18000,18000,26000,17000,18000,17000,17000,22000
de,2025,17000,18000,18000,17000,18000,16000,22000,16000,,,,
la,2018,86000,82000,80000,85000,83000,77000,80000,83000,81000,81000,80000,86000
la,2019,92000,94000,90000,92000,84000,94000,97000,87000,85000,85000,83000,100000
la,2020,71000,88000,218000,135000,84000,85000,75000,75000,98000,70000,78000,76000
la,2021,72000,78000,76000,80000,87000,85000,79000,81000,119000,91000,100000,93000
la,2022,92000,82000,95000,89000,96000,89000,89000,93000,82000,91000,92000,95000
la,2023,103000,90000,101000,95000,102000,92000,90000,95000,90000,86000,79000,79000
la,2024,83000,80000,75000,79000,82000,84000,81000,62000,81000,90000,79000,79000
la,2025,76000,87000,69000,72000,69000,66000,66000,61000,,,,
