sector,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
manufacturing,2015,265000,255000,258000,261000,239000,268000,255000,268000,274000,276000,273000,265000
manufacturing,2016,265000,309000,282000,275000,291000,262000,261000,273000,288000,281000,286000,295000
manufacturing,2017,296000,282000,322000,317000,322000,327000,322000,302000,323000,325000,334000,341000
manufacturing,2018,342000,348000,348000,345000,335000,339000,352000,336000,317000,360000,367000,334000
manufacturing,2019,331000,336000,361000,365000,336000,329000,328000,326000,349000,334000,321000,341000
manufacturing,2020,344000,347000,879000,835000,319000,414000,368000,344000,364000,371000,390000,403000
manufacturing,2021,375000,378000,401000,425000,376000,412000,419000,418000,461000,424000,452000,467000
manufacturing,2022,457000,459000,467000,459000,427000,440000,398000,436000,382000,399000,411000,412000
manufacturing,2023,423000,451000,414000,386000,441000,384000,403000,384000,378000,364000,361000,357000
manufacturing,2024,374000,347000,338000,376000,345000,338000,341000,334000,361000,332000,315000,315000
manufacturing,2025,337000,323000,311000,316000,283000,315000,306000,313000,,,,
state and local government other,2015,155000,144000,149000,148000,137000,162000,146000,145000,131000,160000,142000,152000
state and local government other,2016,140000,146000,147000,149000,154000,160000,163000,183000,165000,165000,156000,152000
state and local government other,2017,159000,151000,153000,148000,188000,159000,148000,159000,162000,139000,158000,156000
state and local government other,2018,151000,147000,160000,143000,154000,166000,160000,147000,146000,146000,144000,144000
state and local government other,2019,188000,162000,149000,156000,136000,118000,157000,158000,154000,158000,154000,143000
state and local government other,2020,142000,161000,207000,240000,150000,149000,134000,109000,138000,153000,163000,155000
state and local government other,2021,153000,143000,157000,142000,132000,158000,156000,146000,139000,173000,164000,155000
state and local government other,2022,168000,174000,168000,170000,174000,177000,152000,165000,171000,150000,169000,180000
state and local government other,2023,155000,143000,161000,150000,151000,132000,150000,146000,129000,134000,144000,154000
state and local government other,2024,152000,157000,137000,155000,137000,133000,156000,140000,147000,127000,145000,148000
state and local government other,2025,144000,133000,156000,140000,159000,150000,134000,161000,,,,
healthcare social assistance,2015,459000,498000,473000,458000,486000,470000,488000,500000,492000,509000,527000,516000
healthcare social assistance,2016,454000,493000,487000,497000,500000,522000,502000,540000,501000,519000,536000,514000
healthcare social assistance,2017,528000,499000,536000,521000,551000,531000,535000,604000,526000,559000,553000,543000
healthcare social assistance,2018,511000,525000,577000,554000,593000,617000,562000,603000,558000,590000,619000,595000
healthcare social assistance,2019,599000,602000,613000,584000,536000,544000,614000,556000,583000,584000,557000,582000
healthcare social assistance,2020,629000,636000,1687000,1186000,580000,633000,609000,593000,579000,602000,577000,586000
healthcare social assistance,2021,594000,606000,613000,620000,648000,674000,621000,656000,731000,688000,737000,722000
healthcare social assistance,2022,719000,699000,670000,716000,709000,687000,681000,687000,657000,628000,692000,748000
healthcare social assistance,2023,698000,707000,724000,666000,788000,750000,666000,735000,671000,707000,723000,667000
healthcare social assistance,2024,649000,693000,670000,753000,703000,622000,751000,638000,658000,695000,639000,671000
healthcare social assistance,2025,664000,654000,656000,704000,605000,638000,609000,667000,,,,
state and local government education,2015,122000,142000,155000,142000,137000,148000,138000,148000,172000,153000,158000,165000
state and local government education,2016,160000,147000,149000,152000,164000,213000,89000,177000,146000,143000,146000,128000
