Award Level and Institution Type,Major Field Family (2-digit CIP),Major Field Family (2-digit CIP) Title,Major Field Group (4-digit CIP),Major Field Group (4-digit CIP) Title,2020 Enrollment,2021 Enrollment,2021 % Change from Previous Year,2022 Enrollment,2022 % Change from Previous Year,2023 Enrollment,2023 % Change from Previous Year,2024 Enrollment,2024 % Change from Previous Year,2025 Enrollment,2025 % Change from Previous Year
Undergraduate 4-year,CIP Missing,CIP Missing,Total,Total,306775,307708,0.3,310403,0.9,393153,26.7,326145,-17.0,337969,3.6
Undergraduate 4-year,01,Agriculture Agriculture Operations and Related Sciences,Total,Total,90733,89539,-1.3,89862,0.4,88066,-2.0,94206,7.0,98000,4.0
Undergraduate 4-year,01,Agriculture Agriculture Operations and Related Sciences,010000,Agriculture General,9282,9147,-1.5,8411,-8.0,8616,2.4,8707,1.0,8645,-0.7
Undergraduate 4-year,01,Agriculture Agriculture Operations and Related Sciences,010100,Agricultural Business and Management,17628,16473,-6.6,16076,-2.4,14675,-8.7,17442,18.9,17907,2.7
Undergraduate 4-year,01,Agriculture Agriculture Operations and Related Sciences,010200,Agricultural Mechanization,1124,1006,-10.4,937,-6.9,926,-1.1,928,0.2,938,1.0
Undergraduate 4-year,01,Agriculture Agriculture Operations and Related Sciences,010300,Agricultural Production Operations,2760,2687,-2.7,2650,-1.4,2688,1.4,2862,6.5,2757,-3.6
Undergraduate 4-year,01,Agriculture Agriculture Operations and Related Sciences,010400,Agricultural and Food Products Processing,258,228,-11.7,219,-3.9,181,-17.6,,,,
Undergraduate 4-year,01,Agriculture Agriculture Operations and Related Sciences,010500,Agricultural and Domestic Animal Services,1696,1886,11.2,1963,4.1,1960,-0.1,2265,15.6,2624,15.8
Undergraduate 4-year,01,Agriculture Agriculture Operations and Related Sciences,010600,Applied Horticulture and Horticultural Business Services,1848,1908,3.2,1903,-0.2,1713,-10.0,2103,22.8,2210,5.1
Undergraduate 4-year,01,Agriculture Agriculture Operations and Related Sciences,010700,International Agriculture,,162,,,,,,325,,391,20.5
Undergraduate 4-year,01,Agriculture Agriculture Operations and Related Sciences,010800,Agricultural Public Services,1882,1958,4.0,1910,-2.4,1760,-7.9,2048,16.4,2163,5.6
Undergraduate 4-year,01,Agriculture Agriculture Operations and Related Sciences,010900,Animal Sciences,32252,31859,-1.2,32953,3.4,32924,-0.1,35972,9.3,37478,4.2
Undergraduate 4-year,01,Agriculture Agriculture Operations and Related Sciences,011000,Food Science and Technology,5101,4758,-6.7,4656,-2.1,4567,-1.9,4242,-7.1,4525,6.7
Undergraduate 4-year,01,Agriculture Agriculture Operations and Related Sciences,011100,Plant Sciences,7556,7530,-0.3,7747,2.9,7526,-2.8,7404,-1.6,7308,-1.3
Undergraduate 4-year,01,Agriculture Agriculture Operations and Related Sciences,011200,Soil Sciences,768,714,-7.0,743,4.2,764,2.8,769,0.7,766,-0.4
Undergraduate 4-year,01,Agriculture Agriculture Operations and Related Sciences,011300,Agriculture/Veterinary Preparatory Programs,2883,3446,19.5,3156,-8.4,2913,-7.7,2637,-9.5,2893,9.7
Undergraduate 4-year,01,Agriculture Agriculture Operations and Related Sciences,018000,Veterinary Medicine,,461,,499,8.2,572,14.8,561,-1.9,627,11.7
Undergraduate 4-year,01,Agriculture Agriculture Operations and Related Sciences,018100,Veterinary Biomedical and Clinical Sciences,416,361,-13.1,625,73.0,635,1.6,483,-24.0,389,-19.4
Undergraduate 4-year,01,Agriculture Agriculture Operations and Related Sciences,018200,Veterinary Administrative Services,0,0,,,,,,,,,
Undergraduate 4-year,01,Agriculture Agriculture Operations and Related Sciences,018300,Veterinary/Animal Health Technologies/Technicians,3934,3849,-2.2,4128,7.2,4325,4.8,4125,-4.6,5128,24.3
Undergraduate 4-year,01,Agriculture Agriculture Operations and Related Sciences,019900,Agricultural/Animal/Plant/Veterinary Science and Related Fields Other,1098,1106,0.7,1107,0.1,1149,3.7,1124,-2.2,1041,-7.4
Undergraduate 4-year,03,Natural Resources and Conservation,Total,Total,81386,80469,-1.1,82667,2.7,83518,1.0,84092,0.7,82956,-1.4
Undergraduate 4-year,03,Natural Resources and Conservation,030100,Natural Resources Conservation and Research,62233,61362,-1.4,63542,3.6,64602,1.7,64952,0.5,63662,-2.0
Undergraduate 4-year,03,Natural Resources and Conservation,030200,Environmental/Natural Resources Management and Policy,5615,5349,-4.7,5244,-2.0,5024,-4.2,5039,0.3,4818,-4.4
Undergraduate 4-year,03,Natural Resources and Conservation,030300,Fishing and Fisheries Sciences and Management,1749,1743,-0.3,1818,4.3,1809,-0.5,1246,-31.1,1121,-10.0
Undergraduate 4-year,03,Natural Resources and Conservation,030500,Forestry,4714,4481,-5.0,4455,-0.6,4729,6.2,4703,-0.6,4852,3.2
