Award Level and Institution Type,State,Region,Major Field Family (2-digit CIP),Major Field Family (2-digit CIP) Title,2020 Enrollment,2021 Enrollment,2021 % Change from Previous Year,2022 Enrollment,2022 % Change from Previous Year,2023 Enrollment,2023 % Change from Previous Year,2024 Enrollment,2024 % Change from Previous Year,2025 Enrollment,2025 % Change from Previous Year
Undergraduate 4-year,Alabama,South,CIP Missing,CIP Missing,2865,2315,-19.2,2494,7.7,3608,44.7,3926,8.8,4036,2.8
Undergraduate 4-year,Alabama,South,01,Agriculture Agriculture Operations and Related Sciences,1445,1445,0.0,1420,-1.7,1436,1.1,1562,8.8,1594,2.0
Undergraduate 4-year,Alabama,South,03,Natural Resources and Conservation,846,792,-6.4,872,10.1,838,-3.9,843,0.6,889,5.5
Undergraduate 4-year,Alabama,South,04,Architecture and Related Services,660,644,-2.4,716,11.2,773,8.1,833,7.7,914,9.7
Undergraduate 4-year,Alabama,South,05,Area Ethnic Cultural and Gender Studies,,,,,,,,,,,
Undergraduate 4-year,Alabama,South,09,Communication Journalism and Related Programs,6205,5664,-8.7,5371,-5.2,5173,-3.7,5140,-0.6,5257,2.3
Undergraduate 4-year,Alabama,South,10,Communications Technologies/Technicians and Support Services,,,,,,,,,,,
Undergraduate 4-year,Alabama,South,11,Computer and Information Sciences and Support Services,5453,5338,-2.1,5462,2.3,5500,0.7,5788,5.2,5748,-0.7
Undergraduate 4-year,Alabama,South,12,Personal and Culinary Services,,,,0,,0,,,,,
Undergraduate 4-year,Alabama,South,13,Education,9922,9196,-7.3,8588,-6.6,8823,2.7,7701,-12.7,8062,4.7
Undergraduate 4-year,Alabama,South,14,Engineering,14403,13679,-5.0,12692,-7.2,12394,-2.3,12865,3.8,13787,7.2
Undergraduate 4-year,Alabama,South,15,Engineering Technologies/Technicians,599,584,-2.4,628,7.5,698,11.2,765,9.6,906,18.3
Undergraduate 4-year,Alabama,South,16,Foreign Languages Literatures and Linguistics,584,579,-0.9,618,6.7,525,-15.0,506,-3.6,520,2.7
Undergraduate 4-year,Alabama,South,19,Family and Consumer Sciences/Human Sciences,3298,3018,-8.5,2825,-6.4,2548,-9.8,2584,1.4,2615,1.2
Undergraduate 4-year,Alabama,South,21,Technology Education/Industrial Arts,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alabama,South,22,Legal Professions and Studies,195,266,36.0,331,24.5,362,9.4,338,-6.6,364,7.5
Undergraduate 4-year,Alabama,South,23,English Language and Literature/Letters,1754,1689,-3.7,1613,-4.5,1421,-11.9,1344,-5.4,1304,-3.0
Undergraduate 4-year,Alabama,South,24,Liberal Arts and Sciences General Studies and Humanities,6503,5711,-12.2,5036,-11.8,4669,-7.3,4446,-4.8,4149,-6.7
Undergraduate 4-year,Alabama,South,25,Library Science,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alabama,South,26,Biological and Biomedical Sciences,10804,10587,-2.0,10121,-4.4,9850,-2.7,10265,4.2,11033,7.5
Undergraduate 4-year,Alabama,South,27,Mathematics and Statistics,1184,1108,-6.4,1051,-5.2,909,-13.5,902,-0.8,958,6.3
Undergraduate 4-year,Alabama,South,28,Reserve Officer Training Corps (JROTC ROTC),0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alabama,South,29,Military Technologies,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alabama,South,30,Multi/Interdisciplinary Studies,3350,3345,-0.1,3767,12.6,4576,21.5,4770,4.2,5181,8.6
Undergraduate 4-year,Alabama,South,31,Parks Recreation Leisure and Fitness Studies,3024,3172,4.9,2978,-6.1,2972,-0.2,3679,23.8,4091,11.2
Undergraduate 4-year,Alabama,South,32,Basic Skills,0,0,,0,,0,,,,0,
Undergraduate 4-year,Alabama,South,33,Citizenship Activities,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alabama,South,34,Health-Related Knowledge and Skills,,,,0,,0,,0,,0,
Undergraduate 4-year,Alabama,South,35,Interpersonal and Social Skills,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alabama,South,36,Leisure and Recreational Activities,,,,,,,,,,,
Undergraduate 4-year,Alabama,South,37,Personal Awareness and Self-Improvement,0,0,,0,,0,,0,,0,
Undergraduate 4-year,Alabama,South,38,Philosophy and Religious Studies,357,311,-12.9,312,0.1,273,-12.4,281,2.9,296,5.3
Undergraduate 4-year,Alabama,South,39,Theology and Religious Vocations,283,297,4.9,297,0.1,227,-23.7,239,5.3,261,9.3
Undergraduate 4-year,Alabama,South,40,Physical Sciences,1950,1815,-6.9,1728,-4.8,1544,-10.7,1434,-7.1,1430,-0.3
Undergraduate 4-year,Alabama,South,41,Science Technologies/Technicians,0,0,,0,,0,,,,0,
Undergraduate 4-year,Alabama,South,42,Psychology,6447,6756,4.8,6876,1.8,6767,-1.6,6487,-4.1,6643,2.4
Undergraduate 4-year,Alabama,South,43,Security and Protective Services,3478,3446,-0.9,3150,-8.6,2975,-5.5,2662,-10.5,3064,15.1
