observation_date,MEPAINUSA672N
1974-01-01,28720
1975-01-01,28140
1976-01-01,28210
1977-01-01,28390
1978-01-01,28160
1979-01-01,27380
1980-01-01,27010
1981-01-01,26480
1982-01-01,26750
1983-01-01,27300
1984-01-01,28080
1985-01-01,28700
1986-01-01,29610
1987-01-01,30030
1988-01-01,30940
1989-01-01,31750
1990-01-01,31430
1991-01-01,30970
1992-01-01,30650
1993-01-01,30960
1994-01-01,31310
1995-01-01,32180
1996-01-01,32870
1997-01-01,34320
1998-01-01,36020
1999-01-01,36410
2000-01-01,36790
2001-01-01,36680
2002-01-01,36530
2003-01-01,36680
2004-01-01,36640
2005-01-01,37310
2006-01-01,38450
2007-01-01,38700
2008-01-01,37170
2009-01-01,36790
2010-01-01,36340
2011-01-01,35810
2012-01-01,35660
2013-01-01,36130
2014-01-01,37010
2015-01-01,38950
2016-01-01,39700
2017-01-01,40100
2018-01-01,41460
2019-01-01,43600
2020-01-01,43010
2021-01-01,43080
2022-01-01,43150
2023-01-01,43310
2024-01-01,45140
