State,FIPS,Year,Median_Household_Income
Alabama,01,2019,51734
Alabama,01,2020,
Alabama,01,2021,53913
Alabama,01,2022,59674
Alabama,01,2023,62212
Alabama,01,2024,
Alabama,01,2025,
Alaska,02,2019,75463
Alaska,02,2020,
Alaska,02,2021,77845
Alaska,02,2022,88121
Alaska,02,2023,86631
Alaska,02,2024,
Alaska,02,2025,
Arizona,04,2019,62055
Arizona,04,2020,
Arizona,04,2021,69056
Arizona,04,2022,74568
Arizona,04,2023,77315
Arizona,04,2024,
Arizona,04,2025,
Arkansas,05,2019,48952
Arkansas,05,2020,
Arkansas,05,2021,52528
Arkansas,05,2022,55432
Arkansas,05,2023,58700
Arkansas,05,2024,
Arkansas,05,2025,
California,06,2019,80440
California,06,2020,
California,06,2021,84907
California,06,2022,91551
California,06,2023,95521
California,06,2024,
California,06,2025,
Colorado,08,2019,77127
Colorado,08,2020,
Colorado,08,2021,82254
Colorado,08,2022,89302
Colorado,08,2023,92911
Colorado,08,2024,
Colorado,08,2025,
Connecticut,09,2019,78833
Connecticut,09,2020,
Connecticut,09,2021,83771
Connecticut,09,2022,88429
Connecticut,09,2023,91665
Connecticut,09,2024,
Connecticut,09,2025,
Delaware,10,2019,70176
Delaware,10,2020,
Delaware,10,2021,71091
Delaware,10,2022,82174
Delaware,10,2023,81361
Delaware,10,2024,
Delaware,10,2025,
District of Columbia,11,2019,92266
District of Columbia,11,2020,
District of Columbia,11,2021,90088
District of Columbia,11,2022,101027
District of Columbia,11,2023,108210
District of Columbia,11,2024,
District of Columbia,11,2025,
Florida,12,2019,59227
Florida,12,2020,
Florida,12,2021,63062
Florida,12,2022,69303
Florida,12,2023,73311
Florida,12,2024,
Florida,12,2025,
Georgia,13,2019,61980
Georgia,13,2020,
Georgia,13,2021,66559
Georgia,13,2022,72837
Georgia,13,2023,74632
Georgia,13,2024,
Georgia,13,2025,
Hawaii,15,2019,83102
Hawaii,15,2020,
Hawaii,15,2021,84857
Hawaii,15,2022,92458
Hawaii,15,2023,95322
Hawaii,15,2024,
Hawaii,15,2025,
Idaho,16,2019,60999
Idaho,16,2020,
Idaho,16,2021,66474
Idaho,16,2022,72785
Idaho,16,2023,74942
Idaho,16,2024,
Idaho,16,2025,
Illinois,17,2019,69187
Illinois,17,2020,
Illinois,17,2021,72205
Illinois,17,2022,76708
Illinois,17,2023,80306
Illinois,17,2024,
Illinois,17,2025,
Indiana,18,2019,57603
Indiana,18,2020,
Indiana,18,2021,62743
Indiana,18,2022,66785
Indiana,18,2023,69477
Indiana,18,2024,
Indiana,18,2025,
Iowa,19,2019,61691
Iowa,19,2020,
Iowa,19,2021,65600
Iowa,19,2022,69588
Iowa,19,2023,71433
Iowa,19,2024,
Iowa,19,2025,
Kansas,20,2019,62087
Kansas,20,2020,
Kansas,20,2021,64124
Kansas,20,2022,68925
Kansas,20,2023,70333
Kansas,20,2024,
Kansas,20,2025,
Kentucky,21,2019,52295
Kentucky,21,2020,
Kentucky,21,2021,55573
Kentucky,21,2022,59341
Kentucky,21,2023,61118
Kentucky,21,2024,
Kentucky,21,2025,
Louisiana,22,2019,51073
Louisiana,22,2020,
Louisiana,22,2021,52087
Louisiana,22,2022,55416
Louisiana,22,2023,58229
Louisiana,22,2024,
Louisiana,22,2025,
Maine,23,2019,58924
Maine,23,2020,
Maine,23,2021,64767
Maine,23,2022,69543
Maine,23,2023,73733
Maine,23,2024,
Maine,23,2025,
Maryland,24,2019,86738
Maryland,24,2020,
Maryland,24,2021,90203
Maryland,24,2022,94991
Maryland,24,2023,98678
Maryland,24,2024,
Maryland,24,2025,
Massachusetts,25,2019,85843
Massachusetts,25,2020,
Massachusetts,25,2021,89645
Massachusetts,25,2022,94488
Massachusetts,25,2023,99858
Massachusetts,25,2024,
Massachusetts,25,2025,
Michigan,26,2019,59584
Michigan,26,2020,
Michigan,26,2021,63498
Michigan,26,2022,66986
Michigan,26,2023,69183
Michigan,26,2024,
Michigan,26,2025,
Minnesota,27,2019,74593
Minnesota,27,2020,
Minnesota,27,2021,77720
Minnesota,27,2022,82338
Minnesota,27,2023,85086
Minnesota,27,2024,
Minnesota,27,2025,
Mississippi,28,2019,45792
Mississippi,28,2020,
Mississippi,28,2021,48716
Mississippi,28,2022,52719
Mississippi,28,2023,54203
Mississippi,28,2024,
Mississippi,28,2025,
Missouri,29,2019,57409
Missouri,29,2020,
Missouri,29,2021,61847
Missouri,29,2022,64811
Missouri,29,2023,68545
Missouri,29,2024,
Missouri,29,2025,
Montana,30,2019,57153
Montana,30,2020,
Montana,30,2021,63249
Montana,30,2022,67631
Montana,30,2023,70804
Montana,30,2024,
Montana,30,2025,
Nebraska,31,2019,63229
Nebraska,31,2020,
Nebraska,31,2021,66817
Nebraska,31,2022,69597
Nebraska,31,2023,74590
Nebraska,31,2024,
Nebraska,31,2025,
Nevada,32,2019,63276
Nevada,32,2020,
Nevada,32,2021,66274
Nevada,32,2022,72333
Nevada,32,2023,76364
Nevada,32,2024,
Nevada,32,2025,
New Hampshire,33,2019,77933
New Hampshire,33,2020,
New Hampshire,33,2021,88465
New Hampshire,33,2022,89992
New Hampshire,33,2023,96838
New Hampshire,33,2024,
New Hampshire,33,2025,
New Jersey,34,2019,85751
New Jersey,34,2020,
New Jersey,34,2021,89296
New Jersey,34,2022,96346
New Jersey,34,2023,99781
New Jersey,34,2024,
New Jersey,34,2025,
New Mexico,35,2019,51945
New Mexico,35,2020,
New Mexico,35,2021,53992
New Mexico,35,2022,59726
New Mexico,35,2023,62268
New Mexico,35,2024,
New Mexico,35,2025,
New York,36,2019,72108
New York,36,2020,
New York,36,2021,74314
New York,36,2022,79557
New York,36,2023,82095
New York,36,2024,
New York,36,2025,
North Carolina,37,2019,57341
North Carolina,37,2020,
North Carolina,37,2021,61972
North Carolina,37,2022,67481
North Carolina,37,2023,70804
North Carolina,37,2024,
North Carolina,37,2025,
North Dakota,38,2019,64577
North Dakota,38,2020,
North Dakota,38,2021,66519
North Dakota,38,2022,71970
North Dakota,38,2023,76525
North Dakota,38,2024,
North Dakota,38,2025,
Ohio,39,2019,58642
Ohio,39,2020,
Ohio,39,2021,62262
Ohio,39,2022,65720
Ohio,39,2023,67769
Ohio,39,2024,
Ohio,39,2025,
Oklahoma,40,2019,54449
Oklahoma,40,2020,
Oklahoma,40,2021,55826
Oklahoma,40,2022,59673
Oklahoma,40,2023,62138
Oklahoma,40,2024,
Oklahoma,40,2025,
Oregon,41,2019,67058
Oregon,41,2020,
Oregon,41,2021,71562
Oregon,41,2022,75657
Oregon,41,2023,80160
Oregon,41,2024,
Oregon,41,2025,
Pennsylvania,42,2019,63463
Pennsylvania,42,2020,
Pennsylvania,42,2021,68957
Pennsylvania,42,2022,71798
Pennsylvania,42,2023,73824
Pennsylvania,42,2024,
Pennsylvania,42,2025,
Puerto Rico,72,2019,20474
Puerto Rico,72,2020,
Puerto Rico,72,2021,22237
Puerto Rico,72,2022,24112
Puerto Rico,72,2023,25621
Puerto Rico,72,2024,
Puerto Rico,72,2025,
Rhode Island,44,2019,71169
Rhode Island,44,2020,
Rhode Island,44,2021,74008
Rhode Island,44,2022,81854
Rhode Island,44,2023,84972
Rhode Island,44,2024,
Rhode Island,44,2025,
South Carolina,45,2019,56227
South Carolina,45,2020,
South Carolina,45,2021,59318
South Carolina,45,2022,64115
South Carolina,45,2023,67804
South Carolina,45,2024,
South Carolina,45,2025,
South Dakota,46,2019,59533
South Dakota,46,2020,
South Dakota,46,2021,66143
South Dakota,46,2022,69728
South Dakota,46,2023,71810
South Dakota,46,2024,
South Dakota,46,2025,
Tennessee,47,2019,56071
Tennessee,47,2020,
Tennessee,47,2021,59695
Tennessee,47,2022,65254
Tennessee,47,2023,67631
Tennessee,47,2024,
Tennessee,47,2025,
Texas,48,2019,64034
Texas,48,2020,
Texas,48,2021,66963
Texas,48,2022,72284
Texas,48,2023,75780
Texas,48,2024,
Texas,48,2025,
Utah,49,2019,75780
Utah,49,2020,
Utah,49,2021,79449
Utah,49,2022,89168
Utah,49,2023,93421
Utah,49,2024,
Utah,49,2025,
Vermont,50,2019,63001
Vermont,50,2020,
Vermont,50,2021,72431
Vermont,50,2022,73991
Vermont,50,2023,81211
Vermont,50,2024,
Vermont,50,2025,
Virginia,51,2019,76456
Virginia,51,2020,
Virginia,51,2021,80963
Virginia,51,2022,85873
Virginia,51,2023,89931
Virginia,51,2024,
Virginia,51,2025,
Washington,53,2019,78687
Washington,53,2020,
Washington,53,2021,84247
Washington,53,2022,91306
Washington,53,2023,94605
Washington,53,2024,
Washington,53,2025,
West Virginia,54,2019,48850
West Virginia,54,2020,
West Virginia,54,2021,51248
West Virginia,54,2022,54329
West Virginia,54,2023,55948
West Virginia,54,2024,
West Virginia,54,2025,
Wisconsin,55,2019,64168
Wisconsin,55,2020,
Wisconsin,55,2021,67125
Wisconsin,55,2022,70996
Wisconsin,55,2023,74631
Wisconsin,55,2024,
Wisconsin,55,2025,
Wyoming,56,2019,65003
Wyoming,56,2020,
Wyoming,56,2021,65204
Wyoming,56,2022,70042
Wyoming,56,2023,72415
Wyoming,56,2024,
Wyoming,56,2025,
