State,FIPS,Year,Overall_Median_Income,Income_LessThan_HS,Income_HS_Graduate,Income_Vocational_Associate,Income_Bachelors_Plus,Vocational_Premium_Dollar,Vocational_Premium_Percent,Bachelor_Premium_vs_Vocational
Alabama,01,2019,51734,72565,17455,6914,7095,-10541,-60.39,181
Alabama,01,2020,,,,,,,,
Alabama,01,2021,53913,73273,15073,6130,4097,-8943,-59.33,-2033
Alabama,01,2022,59674,92290,19770,5660,6462,-14110,-71.37,802
Alabama,01,2023,62212,98302,16345,5571,6331,-10774,-65.92,760
Alabama,01,2024,,,,,,,,
Alabama,01,2025,,,,,,,,
Alaska,02,2019,75463,10448,1129,485,867,-644,-57.04,382
Alaska,02,2020,,,,,,,,
Alaska,02,2021,77845,13392,1034,950,442,-84,-8.12,-508
Alaska,02,2022,88121,14859,559,346,613,-213,-38.1,267
Alaska,02,2023,86631,14912,468,156,59,-312,-66.67,-97
Alaska,02,2024,,,,,,,,
Alaska,02,2025,,,,,,,,
Arizona,04,2019,62055,106738,15277,4825,5898,-10452,-68.42,1073
Arizona,04,2020,,,,,,,,
Arizona,04,2021,69056,128376,13603,6050,5631,-7553,-55.52,-419
Arizona,04,2022,74568,129975,12758,4754,5804,-8004,-62.74,1050
Arizona,04,2023,77315,126716,15314,5022,4014,-10292,-67.21,-1008
Arizona,04,2024,,,,,,,,
Arizona,04,2025,,,,,,,,
Arkansas,05,2019,48952,53521,8575,3757,4717,-4818,-56.19,960
Arkansas,05,2020,,,,,,,,
Arkansas,05,2021,52528,60231,6796,4101,3853,-2695,-39.66,-248
Arkansas,05,2022,55432,63805,9501,3897,2839,-5604,-58.98,-1058
Arkansas,05,2023,58700,64088,8428,3155,3395,-5273,-62.57,240
Arkansas,05,2024,,,,,,,,
Arkansas,05,2025,,,,,,,,
California,06,2019,80440,363681,52318,17423,18180,-34895,-66.7,757
California,06,2020,,,,,,,,
California,06,2021,84907,360953,52329,17923,16801,-34406,-65.75,-1122
California,06,2022,91551,402028,57716,20185,14637,-37531,-65.03,-5548
California,06,2023,95521,392350,56431,16653,13993,-39778,-70.49,-2660
California,06,2024,,,,,,,,
California,06,2025,,,,,,,,
Colorado,08,2019,77127,99768,12075,5448,4773,-6627,-54.88,-675
Colorado,08,2020,,,,,,,,
Colorado,08,2021,82254,104016,11167,4966,6080,-6201,-55.53,1114
Colorado,08,2022,89302,120980,10810,4992,6162,-5818,-53.82,1170
Colorado,08,2023,92911,125801,15251,5883,4467,-9368,-61.43,-1416
Colorado,08,2024,,,,,,,,
Colorado,08,2025,,,,,,,,
Connecticut,09,2019,78833,34634,6197,2102,978,-4095,-66.08,-1124
Connecticut,09,2020,,,,,,,,
Connecticut,09,2021,83771,36944,5416,1639,2675,-3777,-69.74,1036
Connecticut,09,2022,88429,43128,6711,1999,1816,-4712,-70.21,-183
Connecticut,09,2023,91665,36625,4385,2401,1868,-1984,-45.25,-533
Connecticut,09,2024,,,,,,,,
Connecticut,09,2025,,,,,,,,
Delaware,10,2019,70176,9885,2096,1054,747,-1042,-49.71,-307
Delaware,10,2020,,,,,,,,
Delaware,10,2021,71091,11084,1441,683,555,-758,-52.6,-128
Delaware,10,2022,82174,9241,1041,207,969,-834,-80.12,762
Delaware,10,2023,81361,10914,782,647,444,-135,-17.26,-203
Delaware,10,2024,,,,,,,,
Delaware,10,2025,,,,,,,,
District of Columbia,11,2019,92266,9953,1895,312,685,-1583,-83.54,373
District of Columbia,11,2020,,,,,,,,
District of Columbia,11,2021,90088,14177,3686,475,734,-3211,-87.11,259
District of Columbia,11,2022,101027,17727,3014,683,1176,-2331,-77.34,493
District of Columbia,11,2023,108210,20297,3611,1741,1537,-1870,-51.79,-204
District of Columbia,11,2024,,,,,,,,
District of Columbia,11,2025,,,,,,,,
Florida,12,2019,59227,193595,30724,10965,12891,-19759,-64.31,1926
Florida,12,2020,,,,,,,,
Florida,12,2021,63062,230737,37907,10568,11871,-27339,-72.12,1303
Florida,12,2022,69303,279277,38336,16064,12435,-22272,-58.1,-3629
Florida,12,2023,73311,265049,34235,10553,9029,-23682,-69.17,-1524
Florida,12,2024,,,,,,,,
Florida,12,2025,,,,,,,,
Georgia,13,2019,61980,141713,20356,7629,12359,-12727,-62.52,4730
Georgia,13,2020,,,,,,,,
Georgia,13,2021,66559,160136,22554,8352,8000,-14202,-62.97,-352
Georgia,13,2022,72837,165934,25476,9092,7201,-16384,-64.31,-1891
