Completion Year,State,Total,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Native Hawaiian or Other Pacific Islander,Black or African American,Hispanic or Latino,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident
2023-24,Total,"5,367,633","32,838",N/A,"370,018","11,432","601,627","1,025,238","2,579,092","201,251","205,100","341,037"
2023-24,Alabama,"81,485",434,N/A,"1,831",96,"15,916","3,880","51,276","2,525","2,690","2,837"
2023-24,Alaska,"5,100",502,N/A,331,58,201,630,"2,564",504,219,91
2023-24,Arizona,"188,809","3,413",N/A,"7,592",754,"20,337","47,568","78,838","7,518","15,908","6,881"
2023-24,Arkansas,"54,665",419,N/A,997,76,"7,402","4,947","35,588","2,282",724,"2,230"
2023-24,California,"742,584","2,418",N/A,"111,116","2,863","36,680","305,468","179,913","34,380","29,969","39,777"
2023-24,Colorado,"95,374",870,N/A,"3,676",234,"6,519","18,382","52,536","4,261","5,536","3,360"
2023-24,Connecticut,"54,119",101,N/A,"3,221",58,"5,792","8,325","26,561","1,927","1,597","6,537"
2023-24,Delaware,"14,178",33,N/A,564,21,"2,520","1,276","7,325",509,235,"1,695"
2023-24,District of Columbia,"29,352",69,N/A,"2,557",54,"5,827","3,019","11,101","1,140","1,605","3,980"
2023-24,Florida,"341,816",763,N/A,"12,251",573,"54,109","107,882","127,663","11,124","9,495","17,956"
2023-24,Georgia,"161,542",369,N/A,"9,884",186,"46,361","16,148","71,132","5,371","3,030","9,061"
2023-24,Hawaii,"12,171",21,N/A,"3,593",607,202,"1,533","2,037","3,146",200,832
2023-24,Idaho,"36,378",189,N/A,774,169,980,"5,795","24,565","1,117","1,995",794
2023-24,Illinois,"218,066",495,N/A,"16,165",281,"25,907","39,043","103,717","6,421","7,587","18,450"
2023-24,Indiana,"145,485",402,N/A,"6,820",219,"13,292","11,164","92,480","5,451","5,098","10,559"
2023-24,Iowa,"53,400",181,N/A,"1,657",59,"2,678","4,061","38,317","1,729","2,308","2,410"
2023-24,Kansas,"55,234",585,N/A,"1,671",112,"3,065","6,975","34,861","2,283","2,570","3,112"
2023-24,Kentucky,"96,197",194,N/A,"2,349",101,"7,410","4,713","69,553","2,979","3,535","5,363"
2023-24,Louisiana,"70,994",456,N/A,"2,025",112,"20,548","4,184","38,099","1,952","1,883","1,735"
2023-24,Maine,"15,626",80,N/A,432,17,648,687,"12,095",520,666,481
2023-24,Maryland,"88,243",217,N/A,"8,129",179,"19,785","8,921","34,812","3,568","3,706","8,926"
2023-24,Massachusetts,"138,189",166,N/A,"12,834",84,"8,981","13,578","63,872","4,369","6,761","27,544"
2023-24,Michigan,"123,670",600,N/A,"6,420",104,"12,085","7,307","77,251","4,472","5,927","9,504"
2023-24,Minnesota,"105,818",643,N/A,"6,381",179,"16,716","8,631","61,896","3,377","3,986","4,009"
2023-24,Mississippi,"44,905",205,N/A,670,32,"15,373","1,531","24,512",949,829,804
2023-24,Missouri,"92,388",358,N/A,"3,537",131,"7,697","5,578","59,772","3,408","2,524","9,383"
2023-24,Montana,"10,922",664,N/A,316,15,87,505,"8,278",511,328,218
2023-24,Nebraska,"32,905",176,N/A,"1,077",47,"1,496","3,682","23,086","1,384",953,"1,004"
2023-24,Nevada,"30,244",211,N/A,"3,444",266,"2,484","9,468","10,597","2,376",909,489
2023-24,New Hampshire,"54,585",203,N/A,"1,995",140,"6,058","5,665","31,631","1,565","5,345","1,983"
2023-24,New Jersey,"103,669",157,N/A,"9,900",143,"13,257","22,604","42,608","2,744","4,187","8,069"
2023-24,New Mexico,"29,008","2,411",N/A,703,70,809,"13,944","8,594",860,897,720
2023-24,New York,"301,450",766,N/A,"31,563",305,"34,092","47,678","126,476","8,665","10,135","41,770"
2023-24,North Carolina,"164,370","1,526",N/A,"6,591",166,"29,735","17,907","90,350","5,562","4,776","7,757"
2023-24,North Dakota,"12,648",631,N/A,183,9,349,520,"9,697",472,149,638
2023-24,Ohio,"164,617",379,N/A,"5,807",160,"18,686","7,946","109,792","5,757","6,350","9,740"
2023-24,Oklahoma,"62,327","5,326",N/A,"1,925",95,"4,340","7,624","33,635","5,764","1,363","2,255"
2023-24,Oregon,"50,751",408,N/A,"3,131",212,"1,334","7,952","30,441","3,323","1,937","2,013"
2023-24,Pennsylvania,"173,687",234,N/A,"12,656",141,"16,393","13,482","104,287","5,701","5,935","14,858"
2023-24,Rhode Island,"20,859",45,N/A,"1,149",11,"1,620","2,843","12,226",728,905,"1,332"
2023-24,South Carolina,"63,825",200,N/A,"1,302",68,"12,227","4,036","40,143","2,485","1,645","1,719"
2023-24,South Dakota,"11,951",516,N/A,209,14,379,436,"9,387",242,183,585
2023-24,Tennessee,"88,939",249,N/A,"2,744",99,"14,000","5,789","57,762","3,066","2,092","3,138"
2023-24,Texas,"410,427","1,399",N/A,"28,137",477,"45,195","156,868","131,466","11,616","10,261","25,008"
2023-24,Utah,"133,878","1,065",N/A,"4,283",638,"5,293","14,987","94,374","4,048","6,798","2,392"
2023-24,Vermont,"9,736",22,N/A,319,6,330,581,"7,470",344,361,303
2023-24,Virginia,"142,909",413,N/A,"9,953",276,"23,508","13,089","74,588","5,883","9,173","6,026"
2023-24,Washington,"90,972",815,N/A,"10,198",409,"4,333","14,319","44,094","6,184","4,835","5,785"
2023-24,West Virginia,"38,895",159,N/A,782,199,"4,110","3,461","25,663","1,536","2,252",733
2023-24,Wisconsin,"90,737",582,N/A,"4,096",80,"4,423","7,681","64,554","2,905","2,439","3,977"
2023-24,Wyoming,"7,534",98,N/A,78,27,58,945,"5,557",248,309,214
2022-23,Total,"5,218,948","31,076",N/A,"359,202","11,301","581,014","952,279","2,572,193","189,859","205,554","316,470"
2022-23,Alabama,"80,834",425,N/A,"1,744",84,"16,341","3,640","50,937","2,265","2,836","2,562"
2022-23,Alaska,"5,014",498,N/A,276,56,170,510,"2,687",451,291,75
2022-23,Arizona,"177,369","3,140",N/A,"7,608",783,"18,776","43,148","75,633","6,864","15,684","5,733"
2022-23,Arkansas,"52,321",366,N/A,"1,064",66,"7,514","4,460","34,193","2,080",678,"1,900"
2022-23,California,"712,076","2,162",N/A,"108,498","2,851","34,283","283,310","178,017","32,737","30,056","40,162"
2022-23,Colorado,"93,498",804,N/A,"3,478",223,"6,317","17,307","53,177","4,053","5,162","2,977"
2022-23,Connecticut,"52,759",97,N/A,"3,061",52,"5,641","7,760","27,613","1,865","1,829","4,841"
2022-23,Delaware,"13,426",37,N/A,553,9,"2,463","1,173","7,221",502,293,"1,175"
2022-23,District of Columbia,"30,339",123,N/A,"2,504",45,"5,904","3,071","12,247","1,084","1,570","3,791"
2022-23,Florida,"327,456",788,N/A,"12,023",648,"52,675","96,386","128,316","10,696","10,147","15,777"
2022-23,Georgia,"156,693",352,N/A,"9,139",170,"45,701","14,430","70,802","4,766","2,704","8,629"
2022-23,Hawaii,"12,193",25,N/A,"3,794",681,190,"1,427","2,032","3,072",175,797
2022-23,Idaho,"28,035",145,N/A,591,111,472,"3,854","20,757",893,636,576
2022-23,Illinois,"209,301",468,N/A,"15,521",278,"23,463","36,219","102,520","5,916","7,870","17,046"
2022-23,Indiana,"129,353",324,N/A,"5,509",194,"11,326","9,719","84,714","4,795","4,224","8,548"
2022-23,Iowa,"53,189",166,N/A,"1,576",59,"2,482","4,117","38,467","1,546","2,476","2,300"
2022-23,Kansas,"52,571",509,N/A,"1,686",95,"3,050","6,243","33,544","2,140","2,913","2,391"
2022-23,Kentucky,"90,081",177,N/A,"2,026",102,"6,772","4,082","65,819","2,539","6,029","2,535"
2022-23,Louisiana,"67,037",415,N/A,"1,942",139,"19,460","3,769","35,711","1,888","1,763","1,950"
2022-23,Maine,"14,872",95,N/A,393,16,603,548,"11,794",424,556,443
2022-23,Maryland,"87,956",221,N/A,"7,857",149,"19,984","8,332","36,166","3,531","3,495","8,221"
2022-23,Massachusetts,"137,001",178,N/A,"12,496",93,"9,053","13,326","66,724","4,257","7,039","23,835"
2022-23,Michigan,"124,578",520,N/A,"6,342",112,"12,556","7,114","79,630","4,364","5,151","8,789"
2022-23,Minnesota,"101,985",574,N/A,"6,238",160,"14,660","7,182","61,534","3,272","4,198","4,167"
2022-23,Mississippi,"46,698",195,N/A,602,20,"16,435","1,443","25,372",941,952,738
2022-23,Missouri,"91,971",373,N/A,"3,387",135,"7,888","5,454","60,251","3,491","2,618","8,374"
2022-23,Montana,"11,232",630,N/A,399,20,123,535,"8,443",431,420,231
2022-23,Nebraska,"31,120",142,N/A,"1,001",34,"1,331","3,229","22,254","1,207",845,"1,077"
2022-23,Nevada,"29,909",202,N/A,"3,185",278,"2,404","9,081","10,984","2,215","1,024",536
2022-23,New Hampshire,"50,080",180,N/A,"1,688",136,"5,260","4,497","30,006","1,292","5,223","1,798"
2022-23,New Jersey,"103,245",135,N/A,"10,055",156,"12,758","21,204","44,094","2,827","4,830","7,186"
2022-23,New Mexico,"32,329","2,457",N/A,765,72,855,"15,677","9,560",989,"1,188",766
2022-23,New York,"308,074",738,N/A,"32,116",349,"34,157","47,639","132,004","8,628","10,872","41,571"
2022-23,North Carolina,"155,420","1,462",N/A,"6,198",168,"27,218","15,296","87,578","5,197","4,554","7,749"
2022-23,North Dakota,"12,726",561,N/A,171,12,369,551,"9,789",487,203,583
