Federal Student Loan Portfolio by Borrower Age and Debt Size,,,,,,,,,,
Includes outstanding principal and interest balances,,,,,,,,,,
Data Source: Enterprise Data Warehouse,,,,,,,,,,
"Data as of June 30, 2025",,,,,,,,,,
,,,,,,,,,,
 ,24 or Younger,,25 to 34,,35 to 49,,50 to 61,,62 and Older,
Debt Size,Dollars Outstanding            (in billions),Borrowers    (in millions),Dollars Outstanding           (in billions),Borrowers    (in millions),Dollars Outstanding            (in billions),Borrowers    (in millions),Dollars Outstanding           (in billions),Borrowers    (in millions),Dollars Outstanding            (in billions),Borrowers    (in millions)
Less than 5K,$3.51,1.16,$6.00,2.10,$5.20,2.00,$2.21,0.86,$1.31,0.54
5K to 10K,$12.90,1.92,$17.34,2.35,$13.84,1.86,$6.14,0.82,$3.36,0.45
10K to 20K,$24.43,1.71,$46.12,3.18,$38.39,2.64,$15.89,1.09,$7.72,0.54
20K to 40K,$31.53,1.20,$103.20,3.64,$88.82,3.06,$34.89,1.21,$14.82,0.52
40K to 60K,$5.41,0.11,$63.76,1.31,$89.13,1.81,$34.81,0.71,$13.78,0.28
60K to 80K,$2.95,0.04,$42.39,0.62,$83.10,1.20,$33.80,0.49,$13.06,0.19
80K to 100K,$2.14,0.02,$25.20,0.28,$58.65,0.66,$28.25,0.32,$11.13,0.12
100K to 200K,$5.35,0.04,$77.74,0.56,$146.72,1.07,$81.98,0.59,$34.55,0.25
200K+,$2.01,0.01,$98.25,0.33,$139.96,0.46,$63.56,0.22,$32.50,0.11
,,,,,,,,,,
Notes:,,,,,,,,,,
"Due to rounding and timing differences, the total figures may differ slightly from those in the Portfolio Summary report.  ",,,,,,,,,,
