Federal Student Loan Portfolio by Borrower Location and Debt Size,,,,,,,,,,,,,,,,,,,
Includes outstanding principal and interest balances,,,,,,,,,,,,,,,,,,,
Data Source: Enterprise Data Warehouse,,,,,,,,,,,,,,,,,,,
"Data as of June 30, 2025",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,<5K,,5K to 10K,,10K to 20K,,20K to 40K,,40K to 60K,,60K to 80K,,80K to 100K,,100K to 200K,,200K+,,
Location,Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),Dollars Outstanding            (in billions),Borrowers    (in thousands),
Alabama,$0.26 ,92.4,$0.75 ,104.1,$1.87 ,129.2,$3.97 ,138.6,$3.33 ,67.6,$2.94 ,42.7,$2.12 ,23.8,$5.68 ,41.1,$4.48 ,15.7,
Alaska,$0.03 ,10.9,$0.08 ,11.2,$0.19 ,13.2,$0.38 ,13.3,$0.31 ,6.2,$0.27 ,3.9,$0.17 ,1.9,$0.47 ,3.4,$0.50 ,1.7,
Arizona,$0.41 ,147.6,$1.19 ,162.4,$2.72 ,189.0,$5.20 ,182.8,$4.12 ,83.9,$3.41 ,49.5,$2.38 ,26.7,$6.52 ,47.4,$7.44 ,23.4,
Arkansas,$0.18 ,63.5,$0.50 ,69.2,$1.18 ,81.5,$2.37 ,83.2,$1.96 ,39.8,$1.73 ,25.2,$1.21 ,13.6,$2.90 ,21.3,$2.09 ,7.2,
California,$1.60 ,561.3,$5.28 ,718.1,$12.57 ,877.4,$22.27 ,788.9,$15.52 ,316.8,$12.58 ,182.4,$9.73 ,109.0,$31.95 ,228.3,$42.98 ,136.5,
Colorado,$0.31 ,110.6,$0.89 ,123.0,$2.24 ,154.1,$4.85 ,170.8,$3.75 ,76.3,$3.17 ,46.1,$2.20 ,24.7,$6.10 ,44.1,$6.00 ,20.0,
Connecticut,$0.18 ,62.6,$0.61 ,85.3,$1.62 ,110.9,$3.37 ,120.2,$2.31 ,47.1,$1.93 ,28.0,$1.42 ,15.9,$4.13 ,29.9,$3.92 ,12.9,
Delaware,$0.05 ,17.5,$0.16 ,22.0,$0.40 ,27.3,$0.86 ,30.3,$0.63 ,12.7,$0.56 ,8.1,$0.43 ,4.9,$1.29 ,9.4,$1.08 ,3.7,
District of Columbia,$0.03 ,12.8,$0.12 ,15.9,$0.30 ,20.7,$0.65 ,22.9,$0.56 ,11.5,$0.54 ,7.8,$0.47 ,5.2,$1.72 ,12.1,$2.06 ,7.0,
