National Center for Education Statistics
Average amount of tuition and required fees for full-time undergraduate students at private postsecondary institutions operating on an academic year calendar system

[In current dollars]
Academic Year,Average amount (in USD)
2023-24,"$28,529"
2022-23,"$27,525"
2021-22,"$26,572"
2020-21,"$26,084"
2019-20,"$25,447"
2018-19,"$24,741"
2017-18,"$23,255"
2016-17,"$22,415"
2015-16,"$21,356"
2014-15,"$20,708"
2013-14,"$20,011"
2012-13,"$19,564"
2011-12,"$19,088"
2010-11,"$18,648"
2009-10,"$18,387"
2008-09,"$17,711"
2007-08,"$16,845"
2006-07,"$15,935"
2005-06,"$15,192"
2004-05,"$14,449"
2003-04,$0
2002-03,$0

"This table presents data collected from Title IV institutions in the United States. Prior to 2009-10, the data include only Title IV primarily postsecondary institutions. Amounts are institutional averages as reported by the institution, not average amounts paid by students (i.e., charges are not weighted by enrollment). "
Out-of-state average tuition and required fees were used for private institutions that reported varying tuitions by residency. 
Amounts displayed are in current dollars.
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Institutional Characteristics component final data (2002-03 - 2022-23) and provisional data (2023-24)."

Results limited By
Institutional category,"Degree-granting, graduate with no undergraduate degrees; Degree-granting, primarily baccalaureate or above; Degree-granting, not primarily baccalaureate or above; Degree-granting, associate's and certificates "
Degree-granting status,Degree-granting
