"unitid","institution name","year","HD2024.FIPS state code","HD2024.Degree-granting status","HD2024.Institution size category","HD2024.State abbreviation","HD2024.FIPS state code","HD2024.Bureau of Economic Analysis (BEA) regions","HD2024.Sector of institution","HD2024.Degree of urbanization (Urban-centric locale)","HD2024.Institutional category","HD2024.Carnegie Classification 2021: Basic","DRVC2024.Certificates of less than 1 year","DRVC2024.Certificate of less than 12 weeks","DRVC2024.Certificate of at least 12 weeks, but less than 1 year","DRVC2024.Certificates of 1 but less than 2 years","DRVC2024.Certificates of 2 but less than 4 years","DRVC2024.Number of students receiving certificates of less than 12 weeks","DRVC2024.Number of students receiving certificates of at least 12 weeks, but less than 1 year","DRVC2024.Number of students receiving a certificate of 1 but less than 4 years"
"101277","New Beginning College of Cosmetology","2024","Alabama","Nondegree-granting, primarily postsecondary","Under 1,000","Alabama","Alabama","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","Town: Distant","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","54","0","0","0","37"
"101471","J F Ingram State Technical College","2024","Alabama","Nondegree-granting, primarily postsecondary","Under 1,000","Alabama","Alabama","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Public, less-than 2-year","Rural: Fringe","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","1939","0","1939","145","0","0","1140","143"
"102711","Alaska Vocational Technical Center","2024","Alaska","Nondegree-granting, primarily postsecondary","Under 1,000","Alaska","Alaska","Far West (AK, CA, HI, NV, OR, WA)","Public, less-than 2-year","Rural: Remote","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","46","0","46","93","0","0","45","93"
"103741","Empire Beauty School-Tucson","2024","Arizona","Nondegree-granting, primarily postsecondary","Under 1,000","Arizona","Arizona","Southwest (AZ, NM, OK, TX)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","98","0","98","63","0","0","98","63"
"103954","Arizona Academy of Beauty","2024","Arizona","Nondegree-granting, primarily postsecondary","Under 1,000","Arizona","Arizona","Southwest (AZ, NM, OK, TX)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","27","0","27","5","0","0","27","5"
"104391","Charles of Italy Beauty College","2024","Arizona","Nondegree-granting, primarily postsecondary","Under 1,000","Arizona","Arizona","Southwest (AZ, NM, OK, TX)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","28","0","28","26","0","0","28","26"
"104443","Empire Beauty School-Chandler","2024","Arizona","Nondegree-granting, primarily postsecondary","Under 1,000","Arizona","Arizona","Southwest (AZ, NM, OK, TX)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","4","0","4","37","0","0","4","37"
"104568","Avalon Institute-Mesa","2024","Arizona","Nondegree-granting, primarily postsecondary","Under 1,000","Arizona","Arizona","Southwest (AZ, NM, OK, TX)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","189","0","189","111","0","0","189","111"
"105677","Roberto-Venn School of Luthiery","2024","Arizona","Nondegree-granting, primarily postsecondary","Under 1,000","Arizona","Arizona","Southwest (AZ, NM, OK, TX)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","37","0","37","0","0","0","37","0"
"106315","Arkansas Beauty School-Little Rock","2024","Arkansas","Nondegree-granting, primarily postsecondary","Under 1,000","Arkansas","Arkansas","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","38","0","38","14","0","0","38","14"
"106324","Arkansas Beauty College","2024","Arkansas","Nondegree-granting, primarily postsecondary","Under 1,000","Arkansas","Arkansas","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","Town: Remote","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","9","0","9","10","0","0","9","10"
"106351","Arkansas Technical School","2024","Arkansas","Nondegree-granting, primarily postsecondary","Under 1,000","Arkansas","Arkansas","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","16","0","16","8","0","0","16","8"
"106494","Arthur's Beauty College","2024","Arkansas","Nondegree-granting, primarily postsecondary","Under 1,000","Arkansas","Arkansas","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","25","0","0","0","25"
"106908","Paul Mitchell the School-Little Rock","2024","Arkansas","Nondegree-granting, primarily postsecondary","Under 1,000","Arkansas","Arkansas","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","112","0","112","135","0","0","112","135"
"107099","Hot Springs Beauty College","2024","Arkansas","Nondegree-granting, primarily postsecondary","Under 1,000","Arkansas","Arkansas","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","2","0","2","48","0","0","2","48"
"107220","Career Academy of Hair Design","2024","Arkansas","Nondegree-granting, primarily postsecondary","Under 1,000","Arkansas","Arkansas","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","108","0","108","76","0","0","108","76"
"107293","Academy of Salon and Spa","2024","Arkansas","Nondegree-granting, primarily postsecondary","Under 1,000","Arkansas","Arkansas","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","43","0","43","14","0","0","43","14"
"107442","New Tyler Barber College Inc","2024","Arkansas","Nondegree-granting, primarily postsecondary","Under 1,000","Arkansas","Arkansas","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","1","0","1","21","0","0","1","21"
"107488","Northwest Technical Institute","2024","Arkansas","Nondegree-granting, primarily postsecondary","Under 1,000","Arkansas","Arkansas","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Public, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","163","0","0","0","163"
"107655","University of Aesthetics & Cosmetology","2024","Arkansas","Nondegree-granting, primarily postsecondary","Under 1,000","Arkansas","Arkansas","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","Town: Remote","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","6","0","6","19","0","0","6","19"
"107789","Paul Mitchell the School-Arkansas","2024","Arkansas","Nondegree-granting, primarily postsecondary","Under 1,000","Arkansas","Arkansas","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","65","0","0","0","65"
"107831","Searcy Beauty College","2024","Arkansas","Nondegree-granting, primarily postsecondary","Under 1,000","Arkansas","Arkansas","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","Town: Distant","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","5","0","5","18","0","0","5","18"
"108065","Velvatex College of Beauty Culture","2024","Arkansas","Nondegree-granting, primarily postsecondary","Under 1,000","Arkansas","Arkansas","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","3","0","0","0","3"
"108977","American Beauty College","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","78","0","78","135","0","0","78","135"
"109721","Associated Technical College-Los Angeles","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","156","0","0","0","156"
"109730","Associated Technical College-San Diego","2024","California","Nondegree-granting, primarily postsecondary","Not applicable","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","City: Large","Not applicable","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,
"109934","Bellus Academy-Chula Vista","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","144","0","144","140","30","0","144","170"
"110194","Brownson Technical School","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","197","0","0","0","197"
"110875","California Beauty School","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","82","0","82","30","0","0","82","30"
"111054","California Hair Design Academy","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","34","0","34","67","0","0","34","67"
"111513","Career Academy of Beauty","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","134","0","134","72","0","0","134","72"
"111708","CET-San Diego","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private not-for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","168","0","0","0","168"
"111717","CET-San Jose","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private not-for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","37","0","37","107","0","0","37","107"
"111726","CET-El Centro","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private not-for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","52","0","52","93","0","0","52","93"
"111744","CET-Colton","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private not-for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","12","0","12","127","0","0","12","127"
"111762","CET-Watsonville","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private not-for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","19","0","19","94","0","0","19","94"
"111799","CET-Salinas","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private not-for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","26","0","26","125","0","0","26","125"
"112181","Citrus Heights Beauty College","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","69","0","69","53","0","0","69","53"
"112288","Milan Institute-Visalia","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","316","0","316","167","0","0","316","167"
"112367","Clovis Adult Education","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Public, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","119","104","15","47","0","104","15","47"
"112455","Coba Academy","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","40","0","40","50","0","0","40","50"
"113449","International School of Beauty Inc","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","31","0","31","148","0","0","31","148"
"114460","Federico Beauty Institute","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","136","0","136","102","0","0","136","102"
"114637","Redondo Beach Beauty College","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","48","0","48","14","0","0","48","14"
"114761","Fredrick and Charles Beauty College","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","Town: Remote","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","23","0","23","40","0","0","23","40"
"114947","Gemological Institute of America-Carlsbad","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private not-for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","160","47","113","0","0","47","113","0"
"115357","Salon Success Academy-Riverside","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","54","0","54","96","0","0","54","96"
"115658","Hilltop Beauty School","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","21","0","21","39","0","0","21","39"
"116563","Bellus Academy-El Cajon","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","58","0","58","110","9","0","58","119"
"117238","Lancaster Beauty School","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","42","0","42","48","0","0","42","48"
"117955","Lu Ross Academy","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","99","0","99","135","0","0","99","135"
"118134","Lyle's College of Beauty","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","59","0","59","34","0","0","59","34"
"118143","Lyle's College of  Beauty","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","48","0","48","16","0","0","48","16"
"118161","Lytles Redwood Empire Beauty College","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","51","0","51","54","0","0","51","54"
"118958","Modern Beauty Academy","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","17","1","16","36","0","1","16","36"
"118994","Moler Barber College","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","33","0","33","164","0","0","33","164"
"119553","National Holistic Institute","2024","California","Nondegree-granting, primarily postsecondary","1,000 - 4,999","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","708","0","708","172","0","0","708","172"
"119951","North Adrian's College of Beauty Inc","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","City: Midsize","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","76","3","73","55","0","3","73","55"
"120069","North-West College-Pomona","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","145","0","0","0","145"
"120087","North-West College-Van Nuys","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","City: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","0","0","0","82","0","0","0","82"
"121433","Professional Institute of Beauty","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","Suburb: Large","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","5","0","5","54","0","0","5","54"
"121637","Shasta School of Cosmetology","2024","California","Nondegree-granting, primarily postsecondary","Under 1,000","California","California","Far West (AK, CA, HI, NV, OR, WA)","Private for-profit, less-than 2-year","City: Small","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","60","4","56","36","0","4","56","36"
