Nonpayment Rates by Institution,,,,,
,,,,,
OPE ID,School Name,School Type,State,Total Borrowers Evaluated,Nonpayment Rate
037093,Edward Via Virginia College of Osteopathic Medicine,"PRIVATE, NONPROFIT",VA,3900,0%
004949,Baylor College of Medicine,"PRIVATE, NONPROFIT",TX,1100,1%
009756,University of Massachusetts Medical School,PUBLIC,MA,1100,1%
041305,Pacific Northwest University of Health Sciences,"PRIVATE, NONPROFIT",WA,1200,1%
001230,Marshall B. Ketchum University,"PRIVATE, NONPROFIT",CA,1200,1%
042568,Arkansas Colleges of Health Education,"PRIVATE, NONPROFIT",AR,1300,1%
042267,Alabama College of Osteopathic Medicine,"PRIVATE, NONPROFIT",AL,1300,1%
010019,University of Texas Southwestern Medical Center (The),PUBLIC,TX,1400,1%
011245,West Virginia School of Osteopathic Medicine,PUBLIC,WV,1400,1%
008067,Louisiana State University Health Sciences Center in Shreveport,PUBLIC,LA,1400,1%
039743,"St. George's University, School of Veterinary Medicine",FOREIGN,FC,1900,1%
001295,Southwestern Law School,"PRIVATE, NONPROFIT",CA,2000,1%
024535,Medical College of Wisconsin,"PRIVATE, NONPROFIT",WI,2000,1%
042189,Rocky Vista University,PROPRIETARY,CO,2500,1%
001855,Des Moines University - Osteopathic Medical Center,"PRIVATE, NONPROFIT",IA,2800,1%
001319,"University of California, San Francisco",PUBLIC,CA,2800,1%
002474,Kansas City University,"PRIVATE, NONPROFIT",MO,3300,1%
001659,Rosalind Franklin University of Medicine and Science,"PRIVATE, NONPROFIT",IL,3600,1%
022779,Ross University School of Veterinary Medicine,FOREIGN,FC,3700,1%
002477,A. T. Still University of Health Sciences,"PRIVATE, NONPROFIT",MO,6200,1%
024827,Western University of Health Sciences,"PRIVATE, NONPROFIT",CA,6800,1%
001657,Midwestern University,"PRIVATE, NONPROFIT",IL,12500,1%
042933,Hackensack Meridian School of Medicine,"PRIVATE, NONPROFIT",NJ,500,2%
002749,New York College of Podiatric Medicine,"PRIVATE, NONPROFIT",NY,600,2%
025340,National University of Natural Medicine,"PRIVATE, NONPROFIT",OR,900,2%
006693,University of London - London School of Economics & Political Science,FOREIGN,FC,1000,2%
042593,Burrell College of Osteopathic Medicine,PROPRIETARY,NM,1100,2%
038533,Keck Graduate Institute of Applied Life Sciences,"PRIVATE, NONPROFIT",CA,1200,2%
024544,Northeast Ohio Medical University,PUBLIC,OH,1600,2%
002178,Massachusetts Institute of Technology,"PRIVATE, NONPROFIT",MA,1600,2%
002677,Brooklyn Law School,"PRIVATE, NONPROFIT",NY,1700,2%
008916,New England Law | Boston,"PRIVATE, NONPROFIT",MA,1800,2%
003947,"University of California College of the Law, San Francisco",PUBLIC,CA,1800,2%
003311,Salus University,"PRIVATE, NONPROFIT",PA,2000,2%
002840,State University of New York Upstate Medical University,PUBLIC,NY,2000,2%
002784,New York Medical College,"PRIVATE, NONPROFIT",NY,2100,2%
041932,Rocky Mountain University of Health Professions,PROPRIETARY,UT,2300,2%
022316,MGH Institute of Health Professions,"PRIVATE, NONPROFIT",MA,2400,2%
009768,University of North Texas Health Science Center at Fort Worth,PUBLIC,TX,2900,2%
