National Center for Education Statistics
Average amount of tuition and required fees for full-time undergraduate students at public postsecondary institutions operating on an academic year calendar system

[In current dollars]
Academic Year,Average amount (in USD)
2023-24,"$6,908"
2022-23,"$6,745"
2021-22,"$6,502"
2020-21,"$6,412"
2019-20,"$6,414"
2018-19,"$6,335"
2017-18,"$6,105"
2016-17,"$5,916"
2015-16,"$5,750"
2014-15,"$5,555"
2013-14,"$5,383"
2012-13,"$5,199"
2011-12,"$4,951"
2010-11,"$4,610"
2009-10,"$4,326"
2008-09,"$4,068"
2007-08,"$3,887"
2006-07,"$3,714"
2005-06,"$3,512"
2004-05,"$3,342"
2003-04,"$3,075"
2002-03,"$2,771"

"This table presents data collected from Title IV institutions in the United States. Prior to 2009-10, the data include only Title IV primarily postsecondary institutions. Amounts are institutional averages as reported by the institution, not average amounts paid by students (i.e., charges are not weighted by enrollment)."
In-state average tuition and required fees were used for public institutions that reported varying tuitions by residency.
Amounts displayed are in current dollars.
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Institutional Characteristics component final data (2002-03 - 2022-23) and provisional data (2023-24)."

Results limited By
Degree-granting status,Degree-granting
