State,FIPS,Year,Median_Household_Income,Unemployment_Rate,Pct_HS_or_Higher,Pct_Bachelors_or_Higher
Alabama,01,2019,51734,4.93,66.26,2.7
Alabama,01,2021,53913,5.35,67.49,2.98
Alabama,01,2022,59674,4.33,68.19,3.02
Alabama,01,2023,62212,4.01,68.17,3.14
Alabama,01,2024,,,,
Alabama,01,2025,,,,
Alaska,02,2019,75463,5.76,67.91,3.64
Alaska,02,2021,77845,6.98,68.97,3.86
Alaska,02,2022,88121,4.56,69.59,3.26
Alaska,02,2023,86631,4.82,69.82,3.42
Alaska,02,2024,,,,
Alaska,02,2025,,,,
Arizona,04,2019,62055,5.08,62.59,3.17
Arizona,04,2021,69056,5.79,65.27,3.5
Arizona,04,2022,74568,4.28,66.18,3.38
Arizona,04,2023,77315,4.25,66.0,3.75
Arizona,04,2024,,,,
Arizona,04,2025,,,,
Arkansas,05,2019,48952,4.82,65.67,2.27
Arkansas,05,2021,52528,5.53,67.31,2.49
Arkansas,05,2022,55432,4.46,67.85,2.66
Arkansas,05,2023,58700,4.16,68.88,2.78
Arkansas,05,2024,,,,
Arkansas,05,2025,,,,
California,06,2019,80440,5.06,63.46,4.22
California,06,2021,84907,8.33,64.8,4.48
California,06,2022,91551,5.3,65.35,4.6
California,06,2023,95521,5.52,65.75,4.7
California,06,2024,,,,
California,06,2025,,,,
Colorado,08,2019,77127,3.67,72.13,4.17
Colorado,08,2021,82254,5.32,72.81,4.66
Colorado,08,2022,89302,3.49,74.37,4.62
Colorado,08,2023,92911,3.8,74.0,4.85
Colorado,08,2024,,,,
Colorado,08,2025,,,,
Connecticut,09,2019,78833,5.32,74.25,4.89
Connecticut,09,2021,83771,6.68,75.07,5.2
Connecticut,09,2022,88429,4.74,75.57,5.32
Connecticut,09,2023,91665,4.59,76.22,5.39
Connecticut,09,2024,,,,
Connecticut,09,2025,,,,
Delaware,10,2019,70176,4.63,71.69,3.62
Delaware,10,2021,71091,5.56,73.23,3.69
Delaware,10,2022,82174,4.27,73.26,4.32
Delaware,10,2023,81361,3.46,73.15,4.1
Delaware,10,2024,,,,
Delaware,10,2025,,,,
District of Columbia,11,2019,92266,6.26,78.84,12.67
District of Columbia,11,2021,90088,8.2,81.04,14.98
District of Columbia,11,2022,101027,5.11,82.17,14.92
